time,relativeAltitude,pressure
27417616,0.000000000,1021.046997070 
27417617,0.010574341,1021.045410156 
27417618,0.000000000,1021.046997070 
27417619,-0.021133423,1021.049133301 
27417620,-0.021133423,1021.049133301 
27417621,0.285369873,1021.012207031 
27417622,0.502044678,1020.985961914 
27417623,0.512611389,1020.984619141 
27417624,0.787414551,1020.951599121 
27417625,1.115062714,1020.911987305 
27417626,1.374008179,1020.880371094 
27417627,1.654094696,1020.846923828 
27417628,1.902473450,1020.816528320 
27417629,2.134998322,1020.788696289 
27417630,2.372806549,1020.759826660 
27417631,2.557769775,1020.737365723 
27417632,2.716308594,1020.718444824 
27417632,2.895984650,1020.696472168 
27417633,3.091518402,1020.672729492 
27417634,3.260623932,1020.652770996 
27417635,3.403308868,1020.635620117 
27417636,3.493148804,1020.624511719 
27417637,3.524856567,1020.620483398 
27417638,3.524856567,1020.620483398 
27417639,3.514286041,1020.622009277 
27417640,3.493148804,1020.624389648 
27417641,3.493148804,1020.624389648 
27417642,3.493148804,1020.624389648 
27417643,3.466724396,1020.627441406 
27417644,3.440303802,1020.630737305 
27417645,3.403308868,1020.635253906 
27417646,3.260623932,1020.652587891 
27417646,3.065093994,1020.676330566 
27417647,2.885414124,1020.698120117 
27417648,2.726875305,1020.717285156 
27417649,2.615898132,1020.730590820 
27417650,2.615898132,1020.730590820 
27417651,2.621185303,1020.729980469 
27417652,2.621185303,1020.729980469 
27417653,2.573623657,1020.735717773 
27417654,2.552482605,1020.738220215 
27417655,2.520774841,1020.742187500 
27417656,2.520774841,1020.742187500 
27417657,2.531345367,1020.740478516 
27417658,2.531345367,1020.740478516 
27417659,2.499637604,1020.744567871 
27417660,2.473213196,1020.747680664 
27417660,2.409797668,1020.755126953 
27417661,2.356952667,1020.762023926 
27417662,2.288249969,1020.770019531 
27417663,2.288249969,1020.770141602 
27417664,2.277683258,1020.771545410 
27417665,2.261829376,1020.773193359 
27417666,2.203697205,1020.780578613 
27417667,2.140281677,1020.787658691 
27417668,2.055728912,1020.798034668 
27417669,1.992313385,1020.805969238 
27417670,1.854911804,1020.822631836 
27417671,1.706939697,1020.840576172 
27417672,1.580108643,1020.855651855 
27417673,1.384578705,1020.879272461 
27417674,1.183761597,1020.903381348 
27417675,1.035793304,1020.921508789 
27417675,0.903675079,1020.937622070 
27417676,0.750419617,1020.955871582 
27417677,0.628875732,1020.970703125 
27417678,0.528465271,1020.982543945 
27417679,0.412200928,1020.996765137 
27417680,0.317077637,1021.008422852 
27417681,0.227241516,1021.019348145 
27417682,0.132118225,1021.030578613 
27417683,-0.005279541,1021.047241211 
27417684,-0.110977173,1021.059936523 
27417685,-0.221954346,1021.073608398 
27417686,-0.354064941,1021.089355469 
27417687,-0.491470337,1021.106445312 
27417688,-0.607734680,1021.120117188 
27417688,-0.755699158,1021.137939453 
27417689,-0.887817383,1021.154296875 
27417690,-1.019935608,1021.170104980 
27417691,-1.141479492,1021.184814453 
27417692,-1.268310547,1021.200012207 
27417693,-1.352867126,1021.210021973 
27417694,-1.553680420,1021.234375000 
27417695,-1.659378052,1021.247497559 
27417696,-1.728073120,1021.255981445 
27417697,-1.828483582,1021.267761230 
27417698,-1.971168518,1021.284912109 
27417699,-2.076858521,1021.297851562 
27417700,-2.230117798,1021.316162109 
27417701,-2.409790039,1021.337829590 
27417702,-2.478492737,1021.346191406 
27417702,-2.573616028,1021.357666016 
27417703,-2.605323792,1021.361938477 
27417704,-2.605323792,1021.361938477 
27417705,-2.631744385,1021.364746094 
27417706,-2.726875305,1021.376342773 
27417707,-2.732154846,1021.376831055 
27417708,-2.737442017,1021.377868652 
27417709,-2.737442017,1021.377868652 
27417710,-2.732154846,1021.377014160 
27417711,-2.732154846,1021.377014160 
27417712,-2.742729187,1021.378295898 
27417713,-2.742729187,1021.378295898 
27417714,-2.737442017,1021.377868652 
27417715,-2.732154846,1021.376708984 
27417716,-2.700447083,1021.373352051 
27417716,-2.663452148,1021.368469238 
27417717,-2.663452148,1021.368347168 
27417718,-2.631744385,1021.364746094 
27417719,-2.626464844,1021.364379883 
27417720,-2.584182739,1021.358886719 
27417721,-2.494346619,1021.348266602 
27417722,-2.462638855,1021.344482422 
27417723,-2.319953918,1021.327209473 
27417724,-2.145561218,1021.306030273 
27417725,-1.960601807,1021.283630371 
27417726,-1.722793579,1021.254821777 
27417727,-1.495552063,1021.227539062 
27417728,-1.294731140,1021.202880859 
27417729,-1.078063965,1021.177246094 
27417730,-0.982940674,1021.165283203 
27417730,-0.935379028,1021.159667969 
27417731,-0.935379028,1021.159667969 
27417732,-0.982940674,1021.165405273 
27417733,-0.993507385,1021.167053223 
27417734,-1.004081726,1021.168151855 
27417735,-1.004081726,1021.167846680 
27417736,-1.004081726,1021.167846680 
27417737,-0.961799622,1021.162780762 
27417738,-0.919525146,1021.157897949 
27417739,-0.919525146,1021.157897949 
27417740,-0.924812317,1021.158386230 
27417741,-0.951232910,1021.161743164 
27417742,-1.004081726,1021.167907715 
27417743,-1.014648438,1021.168945312 
27417744,-1.014648438,1021.168945312 
27417744,-0.871963501,1021.152343750 
27417745,-0.856109619,1021.150207520 
27417746,-0.845542908,1021.148803711 
27417747,-0.829689026,1021.146606445 
