date,time,altitude,latitude,longitude
2018-11-14,28793,31.0,36.015509045295595,129.32240732542726
2018-11-14,28815,31.0,36.015509045295595,129.32240732542726
2018-11-14,28815,31.0,36.01535645027082,129.32233009769172
2018-11-14,28815,31.0,36.01521970704101,129.32226089248664
2018-11-14,28816,31.144147872924805,36.01552081703114,129.32241637978436
2018-11-14,28822,31.05983543395996,36.015509494956625,129.322408408296
2018-11-14,28823,31.121688842773438,36.01554902934069,129.32254350614068
2018-11-14,28824,31.38309948244259,36.01556426104895,129.32259357258343
2018-11-14,28825,27.908757781982423,36.01558268169695,129.32258108026355
2018-11-14,28826,27.96538543701172,36.015616074148305,129.32263973588468
2018-11-14,28827,33.04304656982421,36.0156522223484,129.32268740124147
2018-11-14,28828,33.50903717041015,36.01568722716994,129.3226889482896
2018-11-14,28829,33.629515853881834,36.01569758502935,129.3226858072146
2018-11-14,28830,33.66936256561279,36.015704868203265,129.3226896601049
2018-11-14,28831,33.6833585282898,36.01571602616897,129.3226698270678
2018-11-14,28832,33.736579261032105,36.01572052004932,129.32267868576628
2018-11-14,28833,33.73914788582,36.01572851723116,129.32268047987975
2018-11-14,28834,33.753879235603485,36.01572886733095,129.3227075737853
2018-11-14,28835,33.723073165259564,36.01572291457678,129.32272163806545
2018-11-14,28836,33.687466160520096,36.015717501650045,129.3227402953594
2018-11-14,28837,33.644704868005135,36.01571556267884,129.322749790365
2018-11-14,28838,33.621951108138404,36.015718121960845,129.32276218579435
2018-11-14,28839,33.61047468234704,36.015732995348436,129.32277269892472
2018-11-14,28840,33.642509183932944,36.015734342911465,129.32278049482292
2018-11-14,28841,33.64413334942357,36.01573961487877,129.32279143503058
2018-11-14,28842,33.661379506207005,36.01575932328604,129.32279923785427
2018-11-14,28843,33.72695872088437,36.01577206893431,129.32281193137635
2018-11-14,28844,33.774811503191955,36.01578387913408,129.3228032140766
2018-11-14,28845,33.817863535573096,36.01579585835186,129.32281013092975
2018-11-14,28846,33.860981376140316,36.015802915302665,129.3228061690504
2018-11-14,28847,33.88815502237966,36.01581344545673,129.3227832893508
2018-11-14,28848,33.9249918022868,36.01582427115003,129.32276653834407
2018-11-14,28849,33.964937229545086,36.015834297611605,129.3227446530131
2018-11-14,28850,33.997479059258225,36.01584565859666,129.3227262105774
2018-11-14,28851,34.00777479191215,36.01585485087937,129.32273103370107
2018-11-14,28852,34.013123365421684,36.015864214518594,129.32273675257838
2018-11-14,28853,34.016703495599785,36.01587582961218,129.3227457479413
2018-11-14,28854,34.018160141430094,36.015882054526465,129.32274688211461
2018-11-14,28855,34.019988087507265,36.015890803798555,129.32273743086816
2018-11-14,28856,34.029656889805416,36.0158949234553,129.3227319975183
2018-11-14,28857,34.03646712330671,36.01589567039313,129.3227364703732
2018-11-14,28858,34.034295134571884,36.01589829128491,129.32273140270132
2018-11-14,28859,34.03917971182145,36.01590400664938,129.32272253632667
2018-11-14,28860,34.05006741576223,36.01591054772745,129.32271237355775
2018-11-14,28861,34.06452517419341,36.01591724982312,129.3226886283594
2018-11-14,28862,34.094325976281645,36.01592673477412,129.3226762306478
2018-11-14,28863,34.12067603634887,36.01594277168042,129.3226764245884
2018-11-14,28864,34.14205646471888,36.01595177128927,129.3226742738886
2018-11-14,28865,34.157803821520716,36.015960985118824,129.32267064129533
2018-11-14,28866,34.17591298102903,36.01596658022043,129.3226714513219
2018-11-14,28867,34.18345738697009,36.015971914233056,129.32266562650804
2018-11-14,28868,34.20024156694408,36.01597195180423,129.3226667090831
2018-11-14,28869,34.2002171040821,36.01597792055074,129.3226705718136
2018-11-14,28870,34.20143345357227,36.01598511240143,129.322673236946
2018-11-14,28871,34.20582945680742,36.01599121688942,129.32267310081406
2018-11-14,28872,34.21396292004598,36.01601044957259,129.32266902326208
2018-11-14,28873,34.24668468311788,36.016027400091374,129.32266953180024
2018-11-14,28874,34.270305599049095,36.01604902406851,129.32267642144384
2018-11-14,28875,34.28263778341565,36.016062040416266,129.32267797722216
2018-11-14,28876,34.29510795558766,36.016081737655725,129.32268075307604
2018-11-14,28877,34.31124144741423,36.01610903944514,129.3226985744189
2018-11-14,28878,34.28644297713889,36.01612757819236,129.32271058229122
2018-11-14,28879,34.300322459334986,36.01614254696288,129.32271590330424
2018-11-14,28880,34.33296994429776,36.016149669424195,129.32271113037285
2018-11-14,28881,34.374776105147546,36.01615479189272,129.32271790656566
2018-11-14,28882,34.373597453044056,36.01615938095275,129.32272618724846
2018-11-14,28883,34.36152165631515,36.01616275558281,129.32274406783597
2018-11-14,28884,34.31331319163249,36.016175059521544,129.32275074792003
2018-11-14,28885,34.32671248371403,36.01617257928533,129.3227722125547
2018-11-14,28886,34.250471770221985,36.01617283039386,129.32279316849068
2018-11-14,28887,34.22563006276438,36.01617065705812,129.32280720334808
2018-11-14,28888,34.216104342336,36.01617049910169,129.32282246916458
2018-11-14,28889,34.21464021938985,36.016172518005256,129.32284482915543
2018-11-14,28890,34.221034105557145,36.016172524990985,129.32287234824642
2018-11-14,28891,34.221697526766654,36.016178670181716,129.3228771518657
2018-11-14,28892,34.24167315538663,36.01617792459576,129.3228936900308
2018-11-14,28893,34.241257159288665,36.01618476264364,129.32291182741142
2018-11-14,28894,34.26337017698844,36.016197252074576,129.3229326502214
2018-11-14,28895,34.306045498533805,36.01620563027951,129.32294388190982
2018-11-14,28896,34.337459560839704,36.01621093887741,129.32295397749527
2018-11-14,28897,34.357801437041,36.01622046357697,129.32296594941704
2018-11-14,28898,34.39069347378223,36.01622729524611,129.32298241473526
