time,relativeAltitude,pressure
27397396,0.000000000,1021.242919922 
27397397,0.015853882,1021.240722656 
27397398,0.036994934,1021.238464355 
27397399,0.089843750,1021.232177734 
27397400,0.089843750,1021.231811523 
27397401,0.206100464,1021.217651367 
27397402,0.221954346,1021.216308594 
27397403,0.221954346,1021.216308594 
27397404,0.126831055,1021.227416992 
27397405,0.021141052,1021.240356445 
27397406,-0.095123291,1021.254516602 
27397407,-0.211387634,1021.268188477 
27397408,-0.295936584,1021.278686523 
27397409,-0.322364807,1021.281677246 
27397410,-0.332931519,1021.282836914 
27397411,-0.348785400,1021.284790039 
27397412,-0.354072571,1021.285461426 
27397412,-0.412200928,1021.292602539 
27397413,-0.412200928,1021.292602539 
27397414,-0.396347046,1021.290954590 
27397415,-0.391059875,1021.289916992 
27397416,-0.375205994,1021.287963867 
27397417,-0.348785400,1021.285278320 
27397418,-0.322364807,1021.281860352 
27397419,-0.290657043,1021.278198242 
27397420,-0.269515991,1021.275146484 
27397421,-0.163825989,1021.262268066 
27397422,-0.036994934,1021.247009277 
27397423,0.005287170,1021.241943359 
27397424,0.052848816,1021.236267090 
27397425,0.147972107,1021.224731445 
27397426,0.195533752,1021.219360352 
27397427,0.221954346,1021.215759277 
27397427,0.348785400,1021.200683594 
27397428,0.465049744,1021.186218262 
27397429,0.539031982,1021.177734375 
27397430,0.639442444,1021.165771484 
27397431,0.766273499,1021.150146484 
27397432,0.893104553,1021.135131836 
27397433,0.977661133,1021.124755859 
27397434,1.051643372,1021.115783691 
27397435,1.183761597,1021.099731445 
27397436,1.278884888,1021.088134766 
27397437,1.384574890,1021.075134277 
27397438,1.521980286,1021.058898926 
27397439,1.648811340,1021.043762207 
27397440,1.733360291,1021.033325195 
27397441,1.876045227,1021.015747070 
27397442,2.018730164,1020.998474121 
27397442,2.177268982,1020.979553223 
27397443,2.335811615,1020.960632324 
27397444,2.526058197,1020.937194824 
27397445,2.737445831,1020.911804199 
27397446,3.001674652,1020.880187988 
27397447,3.160217285,1020.860839844 
27397448,3.260623932,1020.848693848 
27397449,3.366317749,1020.835937500 
27397450,3.429733276,1020.828002930 
27397451,3.466724396,1020.823608398 
27397452,3.530139923,1020.816284180 
27397453,3.662258148,1020.800048828 
27397454,3.810226440,1020.781860352 
27397455,3.915920258,1020.769653320 
27397456,3.979335785,1020.762084961 
27397457,4.048034668,1020.753784180 
27397457,4.063888550,1020.751586914 
27397458,4.063888550,1020.751586914 
27397459,4.069171906,1020.751281738 
27397460,4.053318024,1020.752685547 
27397461,4.053318024,1020.752929688 
27397462,4.042751312,1020.754089355 
27397463,4.021610260,1020.756774902 
27397464,4.005756378,1020.758422852 
27397465,4.021610260,1020.756774902 
27397466,4.037464142,1020.754943848 
27397467,4.079742432,1020.749450684 
27397468,4.127304077,1020.743530273 
27397469,4.164299011,1020.739135742 
27397470,4.201290131,1020.734741211 
27397471,4.269989014,1020.726867676 
27397472,4.285842896,1020.725036621 
27397472,4.296413422,1020.723205566 
27397473,4.312267303,1020.721801758 
27397474,4.343975067,1020.717834473 
27397475,4.343975067,1020.717529297 
27397476,4.380966187,1020.713378906 
27397477,4.412673950,1020.709472656 
27397478,4.412673950,1020.709472656 
27397479,4.417961121,1020.708557129 
27397480,4.428527832,1020.707519531 
27397481,4.454952240,1020.704345703 
27397482,4.476089478,1020.701965332 
27397483,4.518367767,1020.696411133 
27397484,4.576499939,1020.689697266 
27397485,4.613491058,1020.685302734 
27397486,4.629344940,1020.683227539 
27397486,4.692760468,1020.675354004 
27397487,4.750892639,1020.668823242 
27397488,4.840732574,1020.657409668 
27397489,4.951709747,1020.644531250 
27397490,5.067970276,1020.630126953 
27397491,5.168376923,1020.617919922 
27397492,5.300495148,1020.602111816 
27397493,5.406188965,1020.589111328 
27397494,5.517166138,1020.576049805 
27397495,5.601718903,1020.565551758 
27397496,5.649280548,1020.559997559 
27397497,5.649280548,1020.559997559 
27397498,5.638710022,1020.560913086 
27397499,5.585865021,1020.567382812 
27397500,5.548873901,1020.572021484 
27397501,5.511878967,1020.576477051 
27397501,5.511878967,1020.576477051 
27397502,5.522449493,1020.575622559 
27397503,5.543586731,1020.572631836 
27397504,5.564727783,1020.570190430 
27397505,5.585865021,1020.567382812 
27397506,5.585865021,1020.567382812 
27397507,5.559440613,1020.570800781 
27397508,5.543586731,1020.572448730 
27397509,5.543586731,1020.573059082 
27397510,5.538303375,1020.573181152 
27397511,5.538303375,1020.573181152 
27397512,5.570011139,1020.569396973 
27397513,5.580581665,1020.568603516 
27397514,5.585865021,1020.567626953 
27397515,5.612289429,1020.564575195 
27397516,5.617572784,1020.563476562 
27397516,5.628143311,1020.562377930 
27397517,5.633426666,1020.562194824 
27397518,5.638710022,1020.561035156 
27397519,5.643997192,1020.560546875 
27397520,5.654563904,1020.559143066 
27397521,5.686271667,1020.555480957 
27397522,5.733833313,1020.549865723 
27397523,5.776111603,1020.544677734 
27397524,5.823673248,1020.538635254 
27397525,5.855381012,1020.535339355 
27397526,5.887088776,1020.531311035 
27397527,5.887088776,1020.531127930 
27397528,5.887088776,1020.531311035 
27397529,5.865951538,1020.533508301 
27397530,5.855381012,1020.534973145 
27397530,5.850097656,1020.535400391 
27397531,5.850097656,1020.535583496 
27397532,5.844814301,1020.536193848 
27397533,5.834243774,1020.537780762 
27397534,5.823673248,1020.538574219 
27397535,5.797252655,1020.542358398 
27397536,5.781398773,1020.544067383 
27397537,5.749687195,1020.547729492 
27397538,5.712696075,1020.552429199 
27397539,5.707412720,1020.552917480 
27397540,5.712696075,1020.552429199 
27397541,5.712696075,1020.552062988 
27397542,5.712696075,1020.552062988 
27397543,5.712696075,1020.552246094 
27397544,5.707412720,1020.552978516 
27397545,5.707412720,1020.552978516 
27397545,5.717979431,1020.551513672 
27397546,5.749687195,1020.547729492 
27397547,5.776111603,1020.544555664 
27397548,5.776111603,1020.544555664 
27397549,5.776111603,1020.544677734 
27397550,5.776111603,1020.544677734 
27397551,5.776111603,1020.544677734 
27397552,5.781398773,1020.544128418 
27397553,5.781398773,1020.544067383 
27397554,5.781398773,1020.544067383 
27397555,5.760257721,1020.546569824 
27397556,5.760257721,1020.546630859 
27397557,5.760257721,1020.546630859 
27397558,5.760257721,1020.546630859 
27397559,5.760257721,1020.546569824 
27397559,5.765541077,1020.545654297 
27397560,5.765541077,1020.545654297 
27397561,5.717979431,1020.551696777 
27397562,5.638710022,1020.561279297 
27397563,5.543586731,1020.572875977 
27397564,5.443180084,1020.584777832 
27397565,5.369194031,1020.593933105 
27397566,5.332202911,1020.598449707 
27397567,5.326919556,1020.599060059 
27397568,5.326919556,1020.599060059 
27397569,5.326919556,1020.598754883 
27397570,5.332202911,1020.598449707 
27397571,5.332202911,1020.598449707 
27397572,5.332202911,1020.598266602 
27397573,5.332202911,1020.598205566 
27397574,5.332202911,1020.598144531 
27397574,5.332202911,1020.598144531 
27397575,5.353340149,1020.595825195 
27397576,5.363910675,1020.594238281 
