date,time,relativeAltitude,pressure
2018-11-14,9517,0.000000000,1020.367431641 
2018-11-14,9518,-0.063415527,1020.375366211 
2018-11-14,9519,-0.116260529,1020.381713867 
2018-11-14,9520,-0.126831055,1020.383361816 
2018-11-14,9521,-0.174392700,1020.388793945 
2018-11-14,9522,-0.179676056,1020.389526367 
2018-11-14,9523,-0.179676056,1020.389526367 
2018-11-14,9524,-0.163822174,1020.387512207 
2018-11-14,9525,-0.095123291,1020.379333496 
2018-11-14,9525,-0.031707764,1020.371459961 
2018-11-14,9526,0.021141052,1020.365234375 
2018-11-14,9527,0.063415527,1020.360046387 
2018-11-14,9528,0.063415527,1020.360046387 
2018-11-14,9529,-0.015853882,1020.369873047 
2018-11-14,9530,-0.153251648,1020.386596680 
2018-11-14,9531,-0.364639282,1020.411621094 
2018-11-14,9532,-0.549602509,1020.434082031 
2018-11-14,9533,-0.697570801,1020.452026367 
2018-11-14,9534,-0.824401855,1020.467468262 
2018-11-14,9535,-0.856109619,1020.471313477 
2018-11-14,9536,-0.967086792,1020.484863281 
2018-11-14,9537,-1.078063965,1020.498291016 
2018-11-14,9538,-1.231319427,1020.516723633 
2018-11-14,9539,-1.379287720,1020.534667969 
2018-11-14,9540,-1.543113708,1020.554260254 
2018-11-14,9540,-1.590675354,1020.560058594 
2018-11-14,9541,-1.664661407,1020.569213867 
2018-11-14,9542,-1.759784698,1020.580566406 
2018-11-14,9543,-1.870761871,1020.593811035 
2018-11-14,9544,-1.923606873,1020.600219727 
2018-11-14,9545,-1.987022400,1020.607788086 
2018-11-14,9546,-2.013446808,1020.611328125 
2018-11-14,9547,-2.097999573,1020.621398926 
2018-11-14,9548,-2.103286743,1020.621582031 
2018-11-14,9549,-2.177268982,1020.630554199 
2018-11-14,9550,-2.224830627,1020.636840820 
2018-11-14,9551,-2.288246155,1020.644409180 
2018-11-14,9552,-2.304100037,1020.646606445 
2018-11-14,9553,-2.304100037,1020.646606445 
2018-11-14,9554,-2.314670563,1020.647705078 
2018-11-14,9555,-2.325241089,1020.648742676 
2018-11-14,9556,-2.362232208,1020.653564453 
2018-11-14,9556,-2.399223328,1020.657592773 
2018-11-14,9557,-2.409793854,1020.659240723 
2018-11-14,9558,-2.409793854,1020.659240723 
2018-11-14,9559,-2.388656616,1020.656250000 
2018-11-14,9560,-2.335807800,1020.649902344 
2018-11-14,9561,-2.277679443,1020.643066406 
2018-11-14,9562,-2.277679443,1020.642761230 
2018-11-14,9563,-2.267108917,1020.641479492 
2018-11-14,9564,-2.245971680,1020.639160156 
2018-11-14,9565,-2.245971680,1020.639160156 
2018-11-14,9566,-2.282962799,1020.643371582 
2018-11-14,9567,-2.351661682,1020.651977539 
2018-11-14,9568,-2.467926025,1020.666259766 
