time,relativeAltitude,pressure
27486963,0.000000000,1021.967163086 
27486964,-0.026420593,1021.970825195 
27486965,-0.058128357,1021.974426270 
27486966,-0.058128357,1021.974426270 
27486967,-0.163818359,1021.987609863 
27486968,-0.163818359,1021.987609863 
27486969,-0.385772705,1022.014465332 
27486970,-0.507324219,1022.028747559 
27486971,-0.560165405,1022.034912109 
27486972,-1.025215149,1022.091674805 
27486973,-1.157333374,1022.107543945 
27486974,-1.326438904,1022.128051758 
27486975,-1.405708313,1022.137512207 
27486976,-1.437416077,1022.141174316 
27486977,-1.490264893,1022.147949219 
27486978,-1.490264893,1022.147949219 
27486979,-1.521972656,1022.151733398 
27486979,-1.532539368,1022.152709961 
27486980,-1.532539368,1022.152709961 
27486981,-1.521972656,1022.151855469 
27486982,-1.521972656,1022.151733398 
27486983,-1.516685486,1022.151184082 
27486984,-1.500831604,1022.149047852 
27486985,-1.484977722,1022.147216797 
27486986,-1.479698181,1022.146362305 
27486987,-1.479698181,1022.146362305 
27486988,-1.521972656,1022.151611328 
27486989,-1.532539368,1022.153259277 
27486990,-1.558967590,1022.156311035 
27486991,-1.569534302,1022.157104492 
27486992,-1.569534302,1022.157104492 
27486993,-1.569534302,1022.157104492 
27486994,-1.548393250,1022.154663086 
27486994,-1.484977722,1022.147277832 
27486995,-1.479698181,1022.146118164 
27486996,-1.389854431,1022.135925293 
27486997,-1.294731140,1022.124389648 
27486998,-1.204895020,1022.113525391 
27486999,-1.146766663,1022.106262207 
27487000,-1.099205017,1022.100708008 
27487001,-1.099205017,1022.100708008 
27487002,-1.099205017,1022.100769043 
27487003,-1.125625610,1022.103576660 
27487004,-1.146766663,1022.105957031 
27487005,-1.146766663,1022.106384277 
27487006,-1.162620544,1022.108215332 
27487007,-1.183753967,1022.110534668 
27487008,-1.189041138,1022.111083984 
27487009,-1.231315613,1022.116638184 
27487009,-1.231315613,1022.116638184 
27487010,-1.220748901,1022.115478516 
27487011,-1.220748901,1022.115478516 
27487012,-1.220748901,1022.115417480 
27487013,-1.204895020,1022.113281250 
27487014,-1.204895020,1022.113281250 
