date,time,relativeAltitude,pressure
2018-11-15,17380,0.000000000,1020.378295898 
2018-11-15,17381,-0.010570526,1020.379394531 
2018-11-15,17382,-0.021137238,1020.380554199 
2018-11-15,17383,-0.147968292,1020.395751953 
2018-11-15,17384,-0.301223755,1020.414672852 
2018-11-15,17385,-0.301223755,1020.414672852 
2018-11-15,17386,-0.253662109,1020.408874512 
2018-11-15,17387,-0.253662109,1020.408447266 
2018-11-15,17388,-0.100406647,1020.390319824 
2018-11-15,17389,0.089839935,1020.366943359 
2018-11-15,17390,0.295940399,1020.342346191 
2018-11-15,17391,0.570739746,1020.308837891 
2018-11-15,17392,0.850826263,1020.274902344 
2018-11-15,17393,1.093921661,1020.246032715 
2018-11-15,17394,1.273597717,1020.224060059 
2018-11-15,17394,1.447990417,1020.203002930 
2018-11-15,17395,1.537830353,1020.192138672 
2018-11-15,17396,1.606529236,1020.184020996 
2018-11-15,17397,1.717506409,1020.170593262 
2018-11-15,17398,1.913040161,1020.147155762 
2018-11-15,17399,2.161418915,1020.116943359 
2018-11-15,17400,2.430934906,1020.084533691 
2018-11-15,17401,2.742729187,1020.046875000 
2018-11-15,17402,3.012245178,1020.014404297 
2018-11-15,17403,3.213062286,1019.989746094 
2018-11-15,17404,3.334606171,1019.975036621 
2018-11-15,17405,3.387454987,1019.968933105 
2018-11-15,17406,3.387454987,1019.968933105 
2018-11-15,17407,3.387454987,1019.968933105 
2018-11-15,17408,3.398021698,1019.967590332 
2018-11-15,17408,3.498432159,1019.955383301 
2018-11-15,17409,3.625263214,1019.940063477 
2018-11-15,17410,3.804939270,1019.918273926 
2018-11-15,17411,4.026893616,1019.891845703 
2018-11-15,17412,4.254135132,1019.864013672 
2018-11-15,17413,4.449665070,1019.840637207 
2018-11-15,17414,4.655769348,1019.815612793 
2018-11-15,17415,4.851299286,1019.791809082 
2018-11-15,17416,5.046829224,1019.768310547 
2018-11-15,17417,5.173660278,1019.752929688 
2018-11-15,17418,5.221225739,1019.747070312 
2018-11-15,17419,5.300495148,1019.738098145 
2018-11-15,17420,5.316349030,1019.735778809 
2018-11-15,17421,5.348056793,1019.732055664 
2018-11-15,17422,5.400901794,1019.725708008 
2018-11-15,17423,5.474887848,1019.716552734 
2018-11-15,17423,5.527732849,1019.710327148 
2018-11-15,17424,5.680988312,1019.691711426 
2018-11-15,17425,5.860664368,1019.670349121 
2018-11-15,17426,5.945220947,1019.659912109 
2018-11-15,17427,6.029773712,1019.649414062 
2018-11-15,17428,6.124897003,1019.638366699 
2018-11-15,17429,6.156604767,1019.634521484 
2018-11-15,17430,6.172458649,1019.632263184 
2018-11-15,17431,6.299289703,1019.617248535 
2018-11-15,17432,6.426120758,1019.602111816 
2018-11-15,17433,6.552951813,1019.586730957 
2018-11-15,17434,6.722061157,1019.566040039 
2018-11-15,17435,6.854179382,1019.550231934 
2018-11-15,17436,6.949302673,1019.538818359 
2018-11-15,17437,7.044425964,1019.527221680 
2018-11-15,17438,7.128978729,1019.517211914 
2018-11-15,17438,7.187110901,1019.510009766 
2018-11-15,17439,7.276947021,1019.499145508 
2018-11-15,17440,7.335079193,1019.492065430 
2018-11-15,17441,7.393211365,1019.484863281 
2018-11-15,17442,7.435489655,1019.480285645 
2018-11-15,17443,7.498905182,1019.472167969 
2018-11-15,17444,7.551750183,1019.466247559 
2018-11-15,17445,7.625736237,1019.456848145 
2018-11-15,17446,7.705005646,1019.447326660 
2018-11-15,17447,7.789558411,1019.437377930 
2018-11-15,17448,7.863544464,1019.428405762 
2018-11-15,17449,7.932243347,1019.419860840 
2018-11-15,17450,8.016799927,1019.410034180 
2018-11-15,17451,8.117206573,1019.397949219 
2018-11-15,17452,8.212329865,1019.386474609 
2018-11-15,17452,8.296882629,1019.376220703 
2018-11-15,17453,8.397293091,1019.364074707 
2018-11-15,17454,8.481845856,1019.353576660 
2018-11-15,17455,8.582256317,1019.341552734 
2018-11-15,17456,8.693233490,1019.328125000 
2018-11-15,17457,8.814777374,1019.313354492 
2018-11-15,17458,8.968032837,1019.294982910 
2018-11-15,17459,9.137142181,1019.274841309 
2018-11-15,17460,9.300964355,1019.254821777 
2018-11-15,17461,9.475357056,1019.233947754 
2018-11-15,17462,9.623329163,1019.216186523 
2018-11-15,17463,9.755443573,1019.199829102 
2018-11-15,17464,9.882274628,1019.184509277 
2018-11-15,17465,9.972114563,1019.173828125 
2018-11-15,17466,10.093662262,1019.159179688 
2018-11-15,17466,10.188785553,1019.147399902 
2018-11-15,17467,10.305046082,1019.133850098 
2018-11-15,17468,10.394886017,1019.122924805 
2018-11-15,17469,10.447731018,1019.116455078 
2018-11-15,17470,10.479438782,1019.112609863 
2018-11-15,17471,10.479438782,1019.112609863 
2018-11-15,17472,10.447731018,1019.116760254 
2018-11-15,17473,10.416023254,1019.120178223 
2018-11-15,17474,10.389602661,1019.123291016 
2018-11-15,17475,10.357894897,1019.127136230 
