time,altitude,latitude,longitude
27498088,58.537384033203125,36.012787687935166,129.3211039043584
27498126,58.537384033203125,36.01298747902934,129.32121265916177
27498126,58.537384033203125,36.01308860913753,129.3212689691677
27498126,58.537384033203125,36.01316055462328,129.32130913731316
27498126,58.013633728027344,36.01258310523263,129.3211194000896
27498133,57.43809127807617,36.01264495148674,129.3213818895112
27498139,53.649596529516685,36.01257726848251,129.3212673502463
27498140,50.44786148071289,36.012478752012726,129.32129066876692
27498141,50.12195892333985,36.01243909689346,129.32131771953343
27498142,50.03431549072266,36.012494971538246,129.321328918171
27498143,49.99803314208985,36.0125450626962,129.32132021549478
27498144,50.17223510742188,36.01259187639877,129.32130376969832
27498145,50.377191925048834,36.01254868057412,129.32128748635435
27498146,57.72576622009278,36.01253851853729,129.3212207746319
27498147,58.643848136901866,36.012536586509526,129.32120495233048
27498148,58.78065907516479,36.01250458876576,129.32125838063365
27498149,58.51756023124695,36.01246922106094,129.32124110134666
27498150,58.532366679862974,36.01245112608571,129.32121683482436
27498151,58.61247510182419,36.012429901263,129.32119327944827
27498152,58.696799725758595,36.01242040247014,129.32119176100227
27498153,58.710155436443046,36.012420171576856,129.32118958167956
27498154,58.718549723331805,36.01240049095993,129.3211841113478
27498155,58.737111472577325,36.012392882529944,129.3211699845365
27498156,58.784739437052664,36.01239296759999,129.32118113522503
27498157,58.75337781333417,36.012385965027846,129.32117051690423
27498158,58.78464259090373,36.01238750023934,129.3211507056117
27498159,58.85195669073099,36.01235304722807,129.3211698778811
27498160,58.79657414807701,36.012323859851975,129.32119305484747
27498161,58.71593747462215,36.0123051341242,129.32119987431375
27498162,58.685784421290336,36.012293326295286,129.32119525778927
27498163,58.69772425511732,36.0122899712686,129.3211942281087
27498164,58.702255335667985,36.0122876533163,129.32117838101178
27498165,58.754048928342186,36.0122897397032,129.3211592548794
27498166,58.82119804468968,36.012288476436,129.3211591573113
27498167,58.828228813258036,36.01228809065663,129.32115535533455
27498168,58.84125031052503,36.01228231032842,129.32116186261726
27498169,58.82147244316188,36.01228624184975,129.32115651351089
27498170,58.836825589042746,36.012271783527574,129.32116442506577
27498171,58.812728426824194,36.012264947689715,129.3211675859607
27498172,58.80007395962578,36.01225953613058,129.32117250839144
27498173,58.78285773775946,36.01226091986705,129.32117769478242
27498174,58.76433389999664,36.012241389237396,129.32119428806874
27498175,58.70871717295864,36.012231308885944,129.3212006413132
27498176,58.68257673438572,36.012209776842916,129.32121446502953
27498177,58.59484611337999,36.012199603636084,129.3212193347665
27498178,58.53733495313489,36.012173472677965,129.32121005262292
27498179,58.47699551923928,36.01216212250172,129.32121817304227
27498180,58.407879453046974,36.012153424153915,129.3212313200122
27498181,58.33018842748244,36.01213906190028,129.32124434458896
27498182,58.23368412595137,36.01213091396276,129.3212573500564
27498183,58.15549274120842,36.01210913058891,129.32124979130313
27498184,58.10158595624975,36.01209770979179,129.32124654821388
27498185,58.06970449406248,36.01208692050322,129.32125230761878
27498186,58.01289620013867,36.01208234713815,129.32126117485535
27498187,57.96366831264082,36.01206683192343,129.3212640845495
27498188,57.89904856344182,36.0120634726139,129.32127348295273
27498189,57.85125052895161,36.01205902196257,129.32127840826038
27498190,57.81609352823695,36.012058518926516,129.32131520043762
27498191,57.69174195170065,36.0120514071691,129.32133941132577
27498192,57.577820587992335,36.012041832532006,129.32136619195128
27498193,57.44863441475627,36.01202958536432,129.32137669310004
27498194,57.36201126862407,36.01203167012714,129.3213898805398
27498195,57.31738246231163,36.01202485092137,129.32140352281579
27498196,57.24662395790108,36.012019823933095,129.32141362993897
27498197,57.190507885292064,36.01201012561046,129.32142164595743
27498198,57.127506446488184,36.01200856288511,129.32143232368128
27498199,57.081545658076564,36.01199615064363,129.32144376806775
27498200,56.999653894420945,36.01199563247764,129.32147056915144
27498201,56.90294924564327,36.01199828426823,129.32148849737456
