time,relativeAltitude,pressure
27417025,0.000000000,1017.867797852 
27417026,-0.021141052,1017.869873047 
27417027,-0.036994934,1017.872009277 
27417028,-0.079269409,1017.877075195 
27417029,-0.132118225,1017.883789062 
27417030,-0.190246582,1017.890686035 
27417031,-0.681720734,1017.949584961 
27417032,-0.797981262,1017.963989258 
27417033,-0.967090607,1017.984069824 
27417034,-1.326446533,1018.027282715 
27417035,-1.733364105,1018.076232910 
27417036,-1.928894043,1018.100036621 
27417037,-2.214263916,1018.134643555 
27417038,-2.520774841,1018.171630859 
27417039,-2.806144714,1018.205566406 
27417040,-3.170783997,1018.249572754 
27417041,-3.524856567,1018.292541504 
27417042,-3.826080322,1018.328979492 
27417043,-4.063888550,1018.357299805 
27417044,-4.217144012,1018.376159668 
27417044,-4.269989014,1018.382690430 
27417045,-4.285842896,1018.384460449 
27417046,-4.322837830,1018.388732910 
27417047,-4.402107239,1018.398315430 
27417048,-4.544792175,1018.415893555 
27417049,-4.740322113,1018.439025879 
27417050,-5.036262512,1018.474609375 
27417051,-5.348056793,1018.512451172 
27417052,-5.628143311,1018.546264648 
27417053,-5.871234894,1018.575988770 
27417054,-6.061481476,1018.598510742 
27417068,-6.214736938,1018.617431641 
27417068,-6.331001282,1018.631103516 
27417068,-6.515960693,1018.653625488 
27417068,-6.732631683,1018.679687500 
27417068,-7.081417084,1018.721557617 
27417068,-7.409065247,1018.761474609 
27417068,-7.784275055,1018.806701660 
27417068,-7.874114990,1018.817443848 
27417068,-7.990375519,1018.831542969 
27417068,-8.011516571,1018.834106445 
27417068,-8.011516571,1018.834106445 
27417068,-7.974521637,1018.829406738 
27417068,-7.958667755,1018.827209473 
27417068,-7.911106110,1018.821960449 
27417068,-7.895252228,1018.819702148 
27417069,-7.852973938,1018.814636230 
27417070,-7.815982819,1018.810485840 
27417071,-7.794845581,1018.807678223 
27417072,-7.768421173,1018.804626465 
27417073,-7.794845581,1018.807678223 
27417074,-7.916389465,1018.822082520 
27417075,-7.974521637,1018.829284668 
27417075,-8.080215454,1018.841857910 
27417076,-8.101352692,1018.844726562 
27417077,-8.106639862,1018.845336914 
27417078,-8.106639862,1018.845581055 
27417079,-8.117206573,1018.846740723 
27417080,-8.138347626,1018.849426270 
27417081,-8.159484863,1018.851684570 
27417082,-8.159484863,1018.851684570 
27417083,-8.148914337,1018.850646973 
27417084,-8.138347626,1018.849365234 
27417085,-8.127777100,1018.847717285 
27417086,-8.127777100,1018.847717285 
27417087,-8.133060455,1018.848327637 
27417088,-8.148914337,1018.850158691 
27417089,-8.164768219,1018.852478027 
27417090,-8.185909271,1018.855102539 
27417090,-8.233470917,1018.860778809 
27417091,-8.281032562,1018.866333008 
27417092,-8.312740326,1018.870178223 
27417093,-8.370868683,1018.877563477 
27417094,-8.413146973,1018.882568359 
27417095,-8.439571381,1018.885498047 
27417096,-8.444854736,1018.886413574 
27417097,-8.465991974,1018.888488770 
27417098,-8.465991974,1018.888488770 
27417099,-8.444854736,1018.886047363 
27417100,-8.423717499,1018.883361816 
27417101,-8.402576447,1018.881286621 
27417102,-8.381439209,1018.878784180 
27417103,-8.381439209,1018.878784180 
27417104,-8.402576447,1018.881164551 
27417105,-8.460708618,1018.887939453 
27417105,-8.561119080,1018.900512695 
27417106,-8.666809082,1018.913085938 
27417107,-8.740795135,1018.921630859 
27417108,-8.814781189,1018.930603027 
27417109,-8.841201782,1018.934265137 
27417110,-8.899333954,1018.941040039 
27417111,-8.925758362,1018.944091797 
27417112,-8.968032837,1018.949340820 
27417113,-8.989173889,1018.952087402 
27417114,-9.047306061,1018.958740234 
27417115,-9.063159943,1018.960571289 
27417116,-9.073726654,1018.962097168 
27417117,-9.110721588,1018.966735840 
27417118,-9.110721588,1018.966735840 
27417119,-9.110721588,1018.966735840 
27417120,-9.168849945,1018.973876953 
27417121,-9.322105408,1018.992309570 
27417121,-9.512351990,1019.015014648 
27417122,-9.713169098,1019.038940430 
27417123,-9.913986206,1019.063476562 
27417124,-10.077808380,1019.083496094 
27417125,-10.104232788,1019.086303711 
27417126,-10.104232788,1019.086303711 
27417127,-9.961547852,1019.069335938 
27417128,-9.924552917,1019.064880371 
27417129,-9.750160217,1019.043823242 
27417130,-9.575767517,1019.022521973 
27417131,-9.422512054,1019.004028320 
