,index,Unnamed: 0,time,relativeAltitude,pressure
111,111,111,27401102,-3.921203613,1018.214660645
112,112,112,27401103,-3.947624207,1018.218139648
113,113,113,27401104,-3.952911377,1018.21887207
114,114,114,27401105,-3.952911377,1018.21887207
115,115,115,27401106,-3.942340851,1018.217041016
116,116,116,27401107,-3.88949585,1018.2113647460001
117,117,117,27401108,-3.857788086,1018.207092285
118,118,118,27401109,-3.857788086,1018.206848145
119,119,119,27401110,-3.857788086,1018.206848145
120,120,120,27401111,-3.873641968,1018.2092895510001
121,121,121,27401112,-3.881567001,1018.20993042
122,122,122,27401113,-3.88949585,1018.211181641
123,123,123,27401114,-3.894779205,1018.211608887
124,124,124,27401115,-3.900062561,1018.212219238
125,125,125,27401116,-3.931770325,1018.216003418
126,126,126,27401117,-3.958194733,1018.2192382810001
127,127,127,27401118,-3.963478088,1018.220153809
128,128,128,27401119,-3.968765259,1018.220458984
129,129,129,27401120,-3.968765259,1018.220458984
130,130,130,27401121,-3.968765259,1018.22052002
131,131,131,27401122,-3.968765259,1018.22052002
132,132,132,27401123,-3.968765259,1018.22052002
133,133,133,27401124,-3.974048615,1018.221313477
134,134,134,27401125,-3.974048615,1018.221313477
135,135,135,27401126,-3.963478088,1018.2196044919999
136,136,136,27401127,-3.97933197,1018.221679688
137,137,137,27401128,-3.984619141,1018.222595215
138,138,138,27401129,-4.000473022,1018.224365234
139,139,139,27401130,-4.0321807860000005,1018.2282104489999
140,140,140,27401131,-4.069171906,1018.232666016
141,141,141,27401132,-4.069171906,1018.232788086
142,142,142,27401133,-4.085025787,1018.2348022460001
143,143,143,27401134,-4.111450195,1018.2377929689999
144,144,144,27401135,-4.111450195,1018.2377929689999
145,145,145,27401136,-4.10616684,1018.236999512
146,146,146,27401137,-4.10616684,1018.236999512
147,147,147,27401138,-4.10616684,1018.236999512
148,148,148,27401139,-4.069171906,1018.2329101560001
149,149,149,27401140,-3.97933197,1018.2221679689999
150,150,150,27401141,-3.80493927,1018.2007751465
151,151,151,27401142,-3.519569397,1018.166625977
152,152,152,27401143,-3.3346061710000003,1018.143920898
153,153,153,27401144,-3.223628998,1018.130981445
154,154,154,27401145,-3.086231232,1018.1143798830001
155,155,155,27401146,-3.017528534,1018.10559082
156,156,156,27401147,-2.938259125,1018.096069336
157,157,157,27401148,-2.821998596,1018.08203125
158,158,158,27401149,-2.647605896,1018.0609741210001
159,159,159,27401150,-2.494350433,1018.0425415039999
160,160,160,27401151,-2.341094971,1018.0245361330001
161,161,161,27401152,-2.214263916,1018.008789062
162,162,162,27401153,-2.108570099,1017.9965209960001
163,163,163,27401154,-2.02930069,1017.986450195
164,164,164,27401155,-1.9500312805000002,1017.9772644039999
165,165,165,27401156,-1.934177399,1017.975524902
166,166,166,27401157,-1.955318451,1017.977539062
167,167,167,27401158,-2.039871216,1017.987731934
168,168,168,27401159,-2.140277863,1018.000366211
169,169,169,27401160,-2.214263916,1018.0090332030001
170,170,170,27401161,-2.214263916,1018.009155273
171,171,171,27401162,-2.214263916,1018.009155273
172,172,172,27401163,-2.150848389,1018.0010986330001
173,173,173,27401164,-2.061008453,1017.990356445
174,174,174,27401165,-2.018733978,1017.985168457
175,175,175,27401166,-2.018733978,1017.985168457
176,176,176,27401167,-2.0240173340000003,1017.986083984
177,177,177,27401168,-2.0240173340000003,1017.986083984
178,178,178,27401169,-1.9870243075,1017.9814453125
179,179,179,27401170,-1.881332397,1017.968994141
180,180,180,27401171,-1.733360291,1017.950927734
181,181,181,27401172,-1.506122589,1017.923706055
182,182,182,27401173,-1.257743835,1017.893737793
183,183,183,27401174,-0.924812317,1017.853271484
184,184,184,27401175,-0.60773468,1017.8151855469999
185,185,185,27401176,-0.285369873,1017.7766113280001
186,186,186,27401177,-0.047561646,1017.747497559
187,187,187,27401178,0.126831055,1017.726928711
188,188,188,27401179,0.232524872,1017.7137451169999
189,189,189,27401180,0.306507111,1017.705322266
190,190,190,27401181,0.327648163,1017.702758789
191,191,191,27401182,0.354072571,1017.69921875
192,192,192,27401183,0.385780334,1017.695465088
193,193,193,27401184,0.42805481,1017.690124512
194,194,194,27401185,0.438625336,1017.689331055
