,index,Unnamed: 0,time,altitude,latitude,longitude
0,0,0.0,27487479.0,40.50247373471599,36.01185172660926,129.32269833607523
1,180,0.00020759809009757111,27487480.0,40.50479268777833,36.0118517908452,129.32269830502264
2,181,0.00041519618019514223,27487481.0,40.50711164084066,36.01185185508114,129.32269827397005
3,182,0.0006227942702927133,27487482.0,40.509430593903,36.01185191931708,129.32269824291743
4,183,0.0008303923603902845,27487483.0,40.51174954696533,36.011851983553015,129.32269821186483
5,184,0.0010379904504878555,27487484.0,40.51406850002767,36.011852047788956,129.32269818081224
6,185,0.0012455885405854266,27487485.0,40.516387453090005,36.0118521120249,129.32269814975965
7,186,0.0014531866306829978,27487486.0,40.51870640615234,36.01185217626084,129.32269811870702
8,187,0.001660784720780569,27487487.0,40.521025359214676,36.01185224049678,129.32269808765443
9,188,0.00186838281087814,27487488.0,40.52334431227701,36.01185230473272,129.32269805660184
10,189,0.002075980900975711,27487489.0,40.52566326533935,36.01185236896866,129.32269802554924
11,190,0.002283578991073282,27487490.0,40.52798221840168,36.0118524332046,129.32269799449662
12,191,0.0024911770811708533,27487491.0,40.53030117146402,36.011852497440536,129.32269796344403
13,192,0.0026987751712684244,27487492.0,40.53262012452635,36.01185256167648,129.32269793239143
14,193,0.0029063732613659955,27487493.0,40.53493907758869,36.01185262591242,129.32269790133884
15,194,0.0031139713514635667,27487494.0,40.537258030651024,36.01185269014836,129.32269787028622
16,195,0.003321569441561138,27487495.0,40.53957698371336,36.0118527543843,129.32269783923363
17,196,0.003529167531658709,27487496.0,40.541895936775695,36.01185281862024,129.32269780818103
18,197,0.00373676562175628,27487497.0,40.54421488983803,36.01185288285618,129.32269777712844
19,198,0.003944363711853851,27487498.0,40.54653384290037,36.01185294709212,129.32269774607582
20,199,0.004151961801951422,27487499.0,40.5488527959627,36.01185301132806,129.32269771502322
21,200,0.0043595598920489935,27487500.0,40.55117174902504,36.011853075564,129.32269768397063
22,201,0.004567157982146564,27487501.0,40.55349070208737,36.01185313979994,129.32269765291804
23,202,0.004774756072244136,27487502.0,40.55580965514971,36.01185320403588,129.32269762186542
24,203,0.0049823541623417065,27487503.0,40.558128608212044,36.01185326827182,129.32269759081282
25,204,0.005189952252439278,27487504.0,40.56044756127438,36.01185333250776,129.32269755976023
26,205,0.005397550342536849,27487505.0,40.562766514336715,36.0118533967437,129.32269752870764
27,206,0.00560514843263442,27487506.0,40.56508546739905,36.01185346097964,129.322697497655
28,207,0.005812746522731991,27487507.0,40.567404420461386,36.01185352521558,129.32269746660242
29,208,0.006020344612829563,27487508.0,40.56972337352372,36.01185358945152,129.32269743554983
30,209,0.006227942702927133,27487509.0,40.57204232658606,36.01185365368746,129.32269740449723
31,210,0.006435540793024705,27487510.0,40.57436127964839,36.0118537179234,129.32269737344464
32,211,0.006643138883122276,27487511.0,40.57668023271073,36.01185378215934,129.32269734239202
33,212,0.006850736973219846,27487512.0,40.578999185773064,36.01185384639528,129.32269731133943
34,213,0.007058335063317418,27487513.0,40.5813181388354,36.011853910631224,129.32269728028683
35,214,0.007265933153414989,27487514.0,40.583637091897735,36.01185397486716,129.32269724923424
36,215,0.00747353124351256,27487515.0,40.58595604496007,36.0118540391031,129.32269721818162
37,216,0.007681129333610131,27487516.0,40.588274998022406,36.01185410333904,129.32269718712902
38,217,0.007888727423707702,27487517.0,40.59059395108474,36.01185416757498,129.32269715607643
39,218,0.008096325513805274,27487518.0,40.59291290414708,36.01185423181092,129.32269712502384
40,219,0.008303923603902844,27487519.0,40.59523185720941,36.01185429604686,129.32269709397121
41,220,0.008511521694000415,27487520.0,40.59755081027175,36.011854360282804,129.32269706291862
42,221,0.008719119784097987,27487521.0,40.599869763334084,36.011854424518745,129.32269703186603
43,222,0.008926717874195559,27487522.0,40.60218871639642,36.01185448875468,129.32269700081343
44,223,0.009134315964293128,27487523.0,40.604507669458755,36.01185455299062,129.3226969697608
45,224,0.0093419140543907,27487524.0,40.60682662252109,36.01185461722656,129.32269693870822
46,225,0.009549512144488272,27487525.0,40.609145575583426,36.0118546814625,129.32269690765563
47,226,0.009757110234585843,27487526.0,40.61146452864576,36.01185474569844,129.32269687660303
48,227,0.009964708324683413,27487527.0,40.6137834817081,36.011854809934384,129.3226968455504
49,228,0.010172306414780985,27487528.0,40.61610243477043,36.011854874170325,129.32269681449782
50,229,0.010379904504878556,27487529.0,40.61842138783277,36.01185493840626,129.32269678344522
51,230,0.010587502594976126,27487530.0,40.620740340895104,36.0118550026422,129.32269675239263
52,231,0.010795100685073698,27487531.0,40.62305929395744,36.01185506687814,129.32269672134
53,232,0.01100269877517127,27487532.0,40.625378247019775,36.01185513111408,129.32269669028742
54,233,0.01121029686526884,27487533.0,40.62769720008211,36.01185519535002,129.32269665923482
55,234,0.01141789495536641,27487534.0,40.630016153144446,36.011855259585964,129.32269662818223
56,235,0.011625493045463982,27487535.0,40.63233510620678,36.011855323821905,129.3226965971296
57,236,0.011833091135561554,27487536.0,40.63465405926912,36.011855388057846,129.322696566077
58,237,0.012040689225659125,27487537.0,40.63697301233145,36.01185545229378,129.32269653502442
59,238,0.012248287315756695,27487538.0,40.63929196539379,36.01185551652972,129.32269650397183
60,239,0.012455885405854267,27487539.0,40.641610918456124,36.01185558076566,129.3226964729192
61,240,0.012663483495951838,27487540.0,40.64392987151846,36.0118556450016,129.3226964418666
62,241,0.01287108158604941,27487541.0,40.646248824580795,36.011855709237544,129.32269641081402
63,242,0.01307867967614698,27487542.0,40.64856777764313,36.011855773473485,129.32269637976142
