,index,Unnamed: 0,time,relativeAltitude,pressure
0,0,0.0,27487479.0,20.303588867000002,1019.513793945
1,1,1.0,27487480.0,20.319442749,1019.511962891
2,2,2.0,27487481.0,20.356433868,1019.50769043
3,3,3.0,27487482.0,20.367004395,1019.5061645510001
4,4,4.0,27487483.0,20.393424988,1019.5026855469999
5,5,5.0,27487484.0,20.401351929,1019.50189209
6,212,5.000207210940737,27487485.0,20.401339048208325,1019.5018936702284
7,213,5.000414421881476,27487486.0,20.40132616741665,1019.5018952504566
8,214,5.000621632822213,27487487.0,20.40131328662497,1019.501896830685
9,215,5.0008288437629504,27487488.0,20.401300405833293,1019.5018984109134
10,216,5.001036054703689,27487489.0,20.401287525041617,1019.5018999911417
11,217,5.001243265644426,27487490.0,20.40127464424994,1019.5019015713701
12,218,5.0014504765851635,27487491.0,20.401261763458265,1019.5019031515984
13,219,5.001657687525902,27487492.0,20.401248882666586,1019.5019047318268
14,220,5.001864898466639,27487493.0,20.40123600187491,1019.5019063120552
15,221,5.002072109407377,27487494.0,20.401223121083234,1019.5019078922835
16,222,5.002279320348114,27487495.0,20.401210240291558,1019.5019094725119
17,223,5.002486531288852,27487496.0,20.401197359499882,1019.5019110527403
18,224,5.00269374222959,27487497.0,20.401184478708203,1019.5019126329686
19,225,5.002900953170327,27487498.0,20.401171597916527,1019.501914213197
20,226,5.003108164111065,27487499.0,20.40115871712485,1019.5019157934253
21,227,5.003315375051803,27487500.0,20.401145836333175,1019.5019173736537
22,228,5.00352258599254,27487501.0,20.4011329555415,1019.5019189538821
23,229,5.003729796933278,27487502.0,20.40112007474982,1019.5019205341104
24,230,5.003937007874016,27487503.0,20.401107193958143,1019.5019221143388
25,231,5.004144218814753,27487504.0,20.401094313166467,1019.5019236945672
26,232,5.004351429755491,27487505.0,20.40108143237479,1019.5019252747954
27,233,5.004558640696229,27487506.0,20.401068551583116,1019.5019268550238
28,234,5.004765851636966,27487507.0,20.401055670791436,1019.5019284352521
29,235,5.0049730625777045,27487508.0,20.40104278999976,1019.5019300154805
30,236,5.005180273518442,27487509.0,20.401029909208084,1019.5019315957089
31,237,5.005387484459179,27487510.0,20.40101702841641,1019.5019331759372
32,238,5.0055946953999175,27487511.0,20.401004147624732,1019.5019347561656
33,239,5.005801906340655,27487512.0,20.400991266833053,1019.501936336394
34,240,5.006009117281392,27487513.0,20.400978386041377,1019.5019379166223
35,241,5.00621632822213,27487514.0,20.4009655052497,1019.5019394968507
36,242,5.006423539162868,27487515.0,20.400952624458025,1019.501941077079
37,243,5.006630750103605,27487516.0,20.400939743666346,1019.5019426573074
38,244,5.006837961044343,27487517.0,20.40092686287467,1019.5019442375358
39,245,5.007045171985081,27487518.0,20.400913982082994,1019.5019458177641
40,246,5.007252382925818,27487519.0,20.400901101291318,1019.5019473979925
41,247,5.007459593866556,27487520.0,20.400888220499642,1019.5019489782209
42,248,5.007666804807294,27487521.0,20.400875339707962,1019.5019505584492
43,249,5.0078740157480315,27487522.0,20.400862458916286,1019.5019521386776
44,250,5.008081226688769,27487523.0,20.40084957812461,1019.5019537189058
45,251,5.008288437629507,27487524.0,20.400836697332934,1019.5019552991342
46,252,5.0084956485702445,27487525.0,20.40082381654126,1019.5019568793626
47,253,5.008702859510982,27487526.0,20.40081093574958,1019.5019584595909
48,254,5.00891007045172,27487527.0,20.400798054957903,1019.5019600398193
49,255,5.009117281392458,27487528.0,20.400785174166227,1019.5019616200477
50,256,5.009324492333195,27487529.0,20.40077229337455,1019.501963200276
51,257,5.009531703273933,27487530.0,20.400759412582875,1019.5019647805044
52,258,5.009738914214671,27487531.0,20.400746531791196,1019.5019663607327
53,259,5.009946125155408,27487532.0,20.40073365099952,1019.5019679409611
54,260,5.010153336096145,27487533.0,20.400720770207844,1019.5019695211895
55,261,5.010360547036884,27487534.0,20.400707889416168,1019.5019711014178
56,262,5.010567757977621,27487535.0,20.400695008624492,1019.5019726816462
57,263,5.0107749689183585,27487536.0,20.400682127832813,1019.5019742618746
58,264,5.010982179859097,27487537.0,20.400669247041137,1019.5019758421029
59,265,5.011189390799834,27487538.0,20.40065636624946,1019.5019774223313
60,266,5.0113966017405716,27487539.0,20.400643485457785,1019.5019790025597
61,267,5.01160381268131,27487540.0,20.40063060466611,1019.501980582788
62,268,5.011811023622047,27487541.0,20.40061772387443,1019.5019821630164
63,269,5.012018234562785,27487542.0,20.400604843082753,1019.5019837432446
64,270,5.012225445503523,27487543.0,20.400591962291077,1019.501985323473
65,271,5.01243265644426,27487544.0,20.4005790814994,1019.5019869037014
66,272,5.012639867384998,27487545.0,20.400566200707726,1019.5019884839297
67,273,5.012847078325736,27487546.0,20.400553319916046,1019.5019900641581
68,274,5.013054289266473,27487547.0,20.40054043912437,1019.5019916443865
69,275,5.013261500207211,27487548.0,20.400527558332694,1019.5019932246148
70,276,5.013468711147949,27487549.0,20.400514677541018,1019.5019948048432
71,277,5.013675922088686,27487550.0,20.400501796749342,1019.5019963850715
72,278,5.013883133029424,27487551.0,20.400488915957663,1019.5019979652999
73,279,5.014090343970162,27487552.0,20.400476035165987,1019.5019995455283
74,280,5.0142975549108995,27487553.0,20.40046315437431,1019.5020011257566
75,281,5.014504765851637,27487554.0,20.400450273582635,1019.502002705985
76,282,5.014711976792374,27487555.0,20.40043739279096,1019.5020042862134
77,283,5.0149191877331125,27487556.0,20.40042451199928,1019.5020058664417
78,284,5.01512639867385,27487557.0,20.400411631207604,1019.5020074466701
79,285,5.015333609614587,27487558.0,20.400398750415928,1019.5020090268983
80,286,5.015540820555326,27487559.0,20.40038586962425,1019.5020106071267
81,287,5.015748031496063,27487560.0,20.400372988832576,1019.5020121873551
82,288,5.0159552424368,27487561.0,20.400360108040896,1019.5020137675834
83,289,5.016162453377539,27487562.0,20.40034722724922,1019.5020153478118
84,290,5.016369664318276,27487563.0,20.400334346457544,1019.5020169280402
85,291,5.016576875259013,27487564.0,20.40032146566587,1019.5020185082685
86,292,5.016784086199752,27487565.0,20.400308584874193,1019.5020200884969
87,293,5.016991297140489,27487566.0,20.400295704082513,1019.5020216687252
88,294,5.0171985080812265,27487567.0,20.400282823290837,1019.5020232489536
89,295,5.017405719021965,27487568.0,20.40026994249916,1019.502024829182
90,296,5.017612929962702,27487569.0,20.400257061707485,1019.5020264094103
91,297,5.0178201409034395,27487570.0,20.40024418091581,1019.5020279896387
92,298,5.018027351844178,27487571.0,20.40023130012413,1019.5020295698671
93,299,5.018234562784915,27487572.0,20.400218419332454,1019.5020311500954
94,300,5.018441773725653,27487573.0,20.400205538540778,1019.5020327303238
95,301,5.01864898466639,27487574.0,20.400192657749102,1019.5020343105521
96,302,5.018856195607128,27487575.0,20.400179776957422,1019.5020358907805
