date,relativeAltitude,pressure
2018-11-14 11:38:37,0.000000000,1020.367431641 
2018-11-14 11:38:38,-0.063415527,1020.375366211 
2018-11-14 11:38:39,-0.116260529,1020.381713867 
2018-11-14 11:38:40,-0.126831055,1020.383361816 
2018-11-14 11:38:41,-0.174392700,1020.388793945 
2018-11-14 11:38:42,-0.179676056,1020.389526367 
2018-11-14 11:38:43,-0.179676056,1020.389526367 
2018-11-14 11:38:44,-0.163822174,1020.387512207 
2018-11-14 11:38:45,-0.095123291,1020.379333496 
2018-11-14 11:38:45,-0.031707764,1020.371459961 
2018-11-14 11:38:46,0.021141052,1020.365234375 
2018-11-14 11:38:47,0.063415527,1020.360046387 
2018-11-14 11:38:48,0.063415527,1020.360046387 
2018-11-14 11:38:49,-0.015853882,1020.369873047 
2018-11-14 11:38:50,-0.153251648,1020.386596680 
2018-11-14 11:38:51,-0.364639282,1020.411621094 
2018-11-14 11:38:52,-0.549602509,1020.434082031 
2018-11-14 11:38:53,-0.697570801,1020.452026367 
2018-11-14 11:38:54,-0.824401855,1020.467468262 
2018-11-14 11:38:55,-0.856109619,1020.471313477 
2018-11-14 11:38:56,-0.967086792,1020.484863281 
2018-11-14 11:38:57,-1.078063965,1020.498291016 
2018-11-14 11:38:58,-1.231319427,1020.516723633 
2018-11-14 11:38:59,-1.379287720,1020.534667969 
2018-11-14 11:39:00,-1.543113708,1020.554260254 
2018-11-14 11:39:00,-1.590675354,1020.560058594 
2018-11-14 11:39:01,-1.664661407,1020.569213867 
2018-11-14 11:39:02,-1.759784698,1020.580566406 
2018-11-14 11:39:03,-1.870761871,1020.593811035 
2018-11-14 11:39:04,-1.923606873,1020.600219727 
2018-11-14 11:39:05,-1.987022400,1020.607788086 
2018-11-14 11:39:06,-2.013446808,1020.611328125 
2018-11-14 11:39:07,-2.097999573,1020.621398926 
2018-11-14 11:39:08,-2.103286743,1020.621582031 
2018-11-14 11:39:09,-2.177268982,1020.630554199 
2018-11-14 11:39:10,-2.224830627,1020.636840820 
2018-11-14 11:39:11,-2.288246155,1020.644409180 
2018-11-14 11:39:12,-2.304100037,1020.646606445 
2018-11-14 11:39:13,-2.304100037,1020.646606445 
2018-11-14 11:39:14,-2.314670563,1020.647705078 
2018-11-14 11:39:15,-2.325241089,1020.648742676 
2018-11-14 11:39:16,-2.362232208,1020.653564453 
2018-11-14 11:39:16,-2.399223328,1020.657592773 
2018-11-14 11:39:17,-2.409793854,1020.659240723 
2018-11-14 11:39:18,-2.409793854,1020.659240723 
2018-11-14 11:39:19,-2.388656616,1020.656250000 
2018-11-14 11:39:20,-2.335807800,1020.649902344 
2018-11-14 11:39:21,-2.277679443,1020.643066406 
2018-11-14 11:39:22,-2.277679443,1020.642761230 
2018-11-14 11:39:23,-2.267108917,1020.641479492 
2018-11-14 11:39:24,-2.245971680,1020.639160156 
2018-11-14 11:39:25,-2.245971680,1020.639160156 
2018-11-14 11:39:26,-2.282962799,1020.643371582 
2018-11-14 11:39:27,-2.351661682,1020.651977539 
2018-11-14 11:39:28,-2.467926025,1020.666259766 
2018-11-14 11:39:29,-2.642318726,1020.687133789 
2018-11-14 11:39:30,-2.837848663,1020.710754395 
2018-11-14 11:39:31,-2.895980835,1020.717834473 
2018-11-14 11:39:31,-2.943542480,1020.723510742 
2018-11-14 11:39:32,-2.943542480,1020.723510742 
2018-11-14 11:39:33,-2.938259125,1020.722900391 
2018-11-14 11:39:34,-2.938259125,1020.722778320 
2018-11-14 11:39:35,-2.938259125,1020.722656250 
2018-11-14 11:39:36,-2.922405243,1020.721191406 
