date,relativeAltitude,pressure
2018-11-17 18:23:06,0.000000000,1018.050659180 
2018-11-17 18:23:08,0.005283356,1018.050231934 
2018-11-17 18:23:09,0.010566711,1018.049865723 
2018-11-17 18:23:10,0.110977173,1018.037719727 
2018-11-17 18:23:11,0.248378754,1018.021362305 
2018-11-17 18:23:12,0.248378754,1018.021362305 
2018-11-17 18:23:13,0.248378754,1018.021362305 
2018-11-17 18:23:13,0.290653229,1018.015808105 
2018-11-17 18:23:14,0.385776520,1018.004638672 
2018-11-17 18:23:15,0.385776520,1018.004272461 
2018-11-17 18:23:16,0.422771454,1018.000366211 
2018-11-17 18:23:17,0.486186981,1017.992309570 
2018-11-17 18:23:18,0.544315338,1017.985595703 
2018-11-17 18:23:19,0.581310272,1017.980957031 
2018-11-17 18:23:20,0.644725800,1017.973144531 
2018-11-17 18:23:21,0.692287445,1017.967834473 
2018-11-17 18:23:22,0.692287445,1017.967285156 
2018-11-17 18:23:23,0.692287445,1017.967285156 
2018-11-17 18:23:24,0.634155273,1017.974792480 
2018-11-17 18:23:25,0.565456390,1017.982849121 
2018-11-17 18:23:26,0.539031982,1017.985778809 
2018-11-17 18:23:27,0.496753693,1017.991394043 
2018-11-17 18:23:28,0.385776520,1018.004455566 
2018-11-17 18:23:29,0.364639282,1018.007141113 
2018-11-17 18:23:29,0.359355927,1018.007751465 
2018-11-17 18:23:30,0.364639282,1018.007141113 
2018-11-17 18:23:31,0.380493164,1018.005432129 
2018-11-17 18:23:32,0.459762573,1017.995910645 
2018-11-17 18:23:33,0.465045929,1017.995239258 
2018-11-17 18:23:34,0.486186981,1017.992065430 
2018-11-17 18:23:35,0.523178101,1017.987915039 
2018-11-17 18:23:36,0.533748627,1017.986511230 
2018-11-17 18:23:37,0.554885864,1017.984375000 
2018-11-17 18:23:38,0.570739746,1017.981933594 
2018-11-17 18:23:39,0.570739746,1017.981933594 
2018-11-17 18:23:40,0.554885864,1017.984130859 
2018-11-17 18:23:41,0.554885864,1017.984130859 
2018-11-17 18:23:42,0.581310272,1017.981018066 
2018-11-17 18:23:43,0.597164154,1017.979187012 
2018-11-17 18:23:44,0.597164154,1017.978820801 
2018-11-17 18:23:44,0.607730865,1017.978027344 
2018-11-17 18:23:45,0.628871918,1017.975463867 
2018-11-17 18:23:46,0.628871918,1017.975097656 
2018-11-17 18:23:47,0.634155273,1017.974548340 
2018-11-17 18:23:48,0.655292511,1017.971862793 
2018-11-17 18:23:49,0.676433563,1017.969482422 
