date,relativeAltitude,pressure
2018-11-17 18:44:09,0.000000000,1015.315673828 
2018-11-17 18:44:10,0.015853882,1015.313476562 
2018-11-17 18:44:11,0.000000000,1015.315673828 
2018-11-17 18:44:12,-0.031707764,1015.319580078 
2018-11-17 18:44:13,-0.211385727,1015.340698242 
2018-11-17 18:44:14,-0.243093491,1015.345092773 
2018-11-17 18:44:15,-0.306509018,1015.352294922 
2018-11-17 18:44:16,-0.354070663,1015.357971191 
2018-11-17 18:44:17,-0.401632309,1015.363708496 
2018-11-17 18:44:18,-0.417486191,1015.365661621 
2018-11-17 18:44:19,-0.502040863,1015.375854492 
2018-11-17 18:44:20,-0.602449417,1015.388244629 
2018-11-17 18:44:21,-0.766273499,1015.407836914 
2018-11-17 18:44:22,-0.951234818,1015.429992676 
2018-11-17 18:44:22,-1.104490280,1015.448669434 
2018-11-17 18:44:23,-1.294736862,1015.471435547 
2018-11-17 18:44:24,-1.479700089,1015.493469238 
2018-11-17 18:44:25,-1.648807526,1015.514221191 
2018-11-17 18:44:26,-1.807346344,1015.533142090 
2018-11-17 18:44:27,-1.992309570,1015.555175781 
2018-11-17 18:44:28,-2.119140625,1015.570312500 
2018-11-17 18:44:29,-2.203695297,1015.580993652 
2018-11-17 18:44:30,-2.224834442,1015.583557129 
2018-11-17 18:44:31,-2.224834442,1015.583557129 
2018-11-17 18:44:32,-2.235403061,1015.584594727 
2018-11-17 18:44:33,-2.224834442,1015.583374023 
2018-11-17 18:44:34,-2.235403061,1015.584716797 
2018-11-17 18:44:35,-2.235403061,1015.584716797 
2018-11-17 18:44:35,-2.277679443,1015.589538574 
2018-11-17 18:44:36,-2.393941879,1015.603637695 
2018-11-17 18:44:37,-2.536626816,1015.620849609 
2018-11-17 18:44:38,-2.721590042,1015.643432617 
2018-11-17 18:44:39,-2.901268005,1015.665039062 
2018-11-17 18:44:40,-3.038667679,1015.681213379 
2018-11-17 18:44:41,-3.107368469,1015.689819336 
2018-11-17 18:44:42,-3.139076233,1015.693481445 
2018-11-17 18:44:43,-3.181352615,1015.698303223 
2018-11-17 18:44:44,-3.260623932,1015.708068848 
2018-11-17 18:44:45,-3.419162750,1015.726928711 
2018-11-17 18:44:46,-3.604124069,1015.749572754 
2018-11-17 18:44:47,-3.799655914,1015.772705078 
2018-11-17 18:44:48,-3.952911377,1015.791625977 
2018-11-17 18:44:48,-4.048034668,1015.802856445 
2018-11-17 18:44:49,-4.079742432,1015.806762695 
2018-11-17 18:44:50,-4.100881577,1015.809020996 
2018-11-17 18:44:51,-4.106164932,1015.809936523 
2018-11-17 18:44:52,-4.122018814,1015.811462402 
2018-11-17 18:44:53,-4.132589340,1015.812744141 
2018-11-17 18:44:54,-4.164297104,1015.816955566 
2018-11-17 18:44:55,-4.227712631,1015.824645996 
2018-11-17 18:44:56,-4.349258423,1015.839233398 
2018-11-17 18:44:57,-4.523651123,1015.859863281 
2018-11-17 18:44:58,-4.713899612,1015.882934570 
2018-11-17 18:44:59,-4.883007050,1015.903076172 
2018-11-17 18:45:00,-5.004554749,1015.918090820 
2018-11-17 18:45:01,-5.041545868,1015.922607422 
2018-11-17 18:45:02,-5.041545868,1015.922607422 
2018-11-17 18:45:02,-5.009838104,1015.918518066 
2018-11-17 18:45:03,-5.004554749,1015.918029785 
2018-11-17 18:45:04,-5.009838104,1015.918518066 
2018-11-17 18:45:05,-5.104961395,1015.930114746 
2018-11-17 18:45:06,-5.258216858,1015.948120117 
2018-11-17 18:45:07,-5.474887848,1015.974487305 
2018-11-17 18:45:08,-5.649280548,1015.995422363 
2018-11-17 18:45:09,-5.844812393,1016.019226074 
2018-11-17 18:45:10,-5.945219040,1016.030944824 
2018-11-17 18:45:11,-5.987497330,1016.036132812 
2018-11-17 18:45:12,-5.987497330,1016.036621094 
2018-11-17 18:45:13,-5.987497330,1016.036621094 
2018-11-17 18:45:14,-5.992782593,1016.036682129 
2018-11-17 18:45:15,-5.987497330,1016.036254883 
2018-11-17 18:45:15,-5.987497330,1016.036437988 
2018-11-17 18:45:16,-5.982212067,1016.035461426 
2018-11-17 18:45:17,-5.982212067,1016.035766602 
2018-11-17 18:45:18,-5.982212067,1016.035766602 
2018-11-17 18:45:19,-5.987497330,1016.036621094 
2018-11-17 18:45:20,-6.013919830,1016.039367676 
2018-11-17 18:45:21,-6.013919830,1016.039367676 
2018-11-17 18:45:22,-6.013919830,1016.039184570 
2018-11-17 18:45:23,-6.013919830,1016.039184570 
2018-11-17 18:45:24,-6.013919830,1016.039184570 
2018-11-17 18:45:25,-5.992782593,1016.037048340 
2018-11-17 18:45:26,-5.976928711,1016.035034180 
2018-11-17 18:45:27,-5.971643448,1016.034057617 
2018-11-17 18:45:28,-5.966358185,1016.033874512 
2018-11-17 18:45:28,-5.966358185,1016.033386230 
2018-11-17 18:45:29,-5.966358185,1016.033386230 
2018-11-17 18:45:30,-5.966358185,1016.033691406 
2018-11-17 18:45:31,-5.966358185,1016.033691406 
2018-11-17 18:45:32,-5.966358185,1016.033447266 
2018-11-17 18:45:33,-5.961072922,1016.033325195 
2018-11-17 18:45:34,-5.966358185,1016.033447266 
2018-11-17 18:45:35,-5.971643448,1016.034545898 
2018-11-17 18:45:36,-5.976928711,1016.034851074 
2018-11-17 18:45:37,-5.971643448,1016.034667969 
2018-11-17 18:45:38,-5.982212067,1016.035400391 
2018-11-17 18:45:39,-5.976928711,1016.034851074 
2018-11-17 18:45:40,-5.982212067,1016.035461426 
2018-11-17 18:45:41,-5.992782593,1016.036926270 
2018-11-17 18:45:41,-5.998065948,1016.037353516 
2018-11-17 18:45:42,-6.003351212,1016.038452148 
2018-11-17 18:45:43,-6.029773712,1016.041259766 
2018-11-17 18:45:44,-6.130182266,1016.053405762 
2018-11-17 18:45:45,-6.262298584,1016.069458008 
2018-11-17 18:45:46,-6.389129639,1016.084655762 
2018-11-17 18:45:47,-6.515960693,1016.099914551 
2018-11-17 18:45:48,-6.637508392,1016.114379883 
2018-11-17 18:45:49,-6.642791748,1016.114807129 
2018-11-17 18:45:50,-6.642791748,1016.114807129 
2018-11-17 18:45:51,-6.568807602,1016.106506348 
2018-11-17 18:45:52,-6.473684311,1016.094909668 
2018-11-17 18:45:53,-6.378561020,1016.083435059 
2018-11-17 18:45:54,-6.299291611,1016.073974609 
2018-11-17 18:45:55,-6.220020294,1016.064453125 
2018-11-17 18:45:55,-6.220020294,1016.064453125 
2018-11-17 18:45:56,-6.230590820,1016.065307617 
2018-11-17 18:45:57,-6.241159439,1016.066894531 
2018-11-17 18:45:58,-6.246444702,1016.067260742 
2018-11-17 18:45:59,-6.251729965,1016.068237305 
2018-11-17 18:46:00,-6.320428848,1016.076538086 
2018-11-17 18:46:01,-6.394414902,1016.085449219 
2018-11-17 18:46:02,-6.478967667,1016.095458984 
2018-11-17 18:46:03,-6.531814575,1016.101562500 
2018-11-17 18:46:04,-6.616369247,1016.111755371 
2018-11-17 18:46:05,-6.616369247,1016.111755371 
2018-11-17 18:46:06,-6.605800629,1016.110961914 
2018-11-17 18:46:07,-6.589946747,1016.108642578 
2018-11-17 18:46:08,-6.574092865,1016.107055664 
2018-11-17 18:46:08,-6.574092865,1016.107055664 
2018-11-17 18:46:09,-6.574092865,1016.107055664 
2018-11-17 18:46:10,-6.552953720,1016.104614258 
2018-11-17 18:46:11,-6.457830429,1016.093078613 
2018-11-17 18:46:12,-6.341567993,1016.078979492 
2018-11-17 18:46:13,-6.230590820,1016.065307617 
2018-11-17 18:46:14,-6.114328384,1016.051879883 
2018-11-17 18:46:15,-6.045627594,1016.043212891 
2018-11-17 18:46:16,-6.040344238,1016.042419434 
2018-11-17 18:46:17,-6.040344238,1016.042419434 
2018-11-17 18:46:18,-6.061481476,1016.045227051 
2018-11-17 18:46:19,-6.061481476,1016.045227051 
2018-11-17 18:46:20,-6.056198120,1016.044433594 
2018-11-17 18:46:21,-6.056198120,1016.044433594 
2018-11-17 18:46:21,-6.050912857,1016.044250488 
2018-11-17 18:46:22,-6.040344238,1016.042785645 
2018-11-17 18:46:23,-6.040344238,1016.042785645 
2018-11-17 18:46:24,-6.050912857,1016.044189453 
2018-11-17 18:46:25,-6.050912857,1016.044189453 
2018-11-17 18:46:26,-6.024490356,1016.040771484 
2018-11-17 18:46:27,-6.024490356,1016.040771484 
2018-11-17 18:46:28,-6.040344238,1016.042419434 
2018-11-17 18:46:29,-6.072052002,1016.046630859 
2018-11-17 18:46:30,-6.119613647,1016.052368164 
2018-11-17 18:46:31,-6.230590820,1016.065612793 
2018-11-17 18:46:32,-6.394414902,1016.085510254 
2018-11-17 18:46:33,-6.574092865,1016.106811523 
2018-11-17 18:46:34,-6.764339447,1016.129882812 
2018-11-17 18:46:35,-6.981008530,1016.156066895 
2018-11-17 18:46:35,-7.171257019,1016.178955078 
2018-11-17 18:46:36,-7.324510574,1016.197265625 
2018-11-17 18:46:37,-7.477766037,1016.215454102 
2018-11-17 18:46:38,-7.662727356,1016.237731934 
2018-11-17 18:46:39,-7.794843674,1016.254028320 
2018-11-17 18:46:40,-7.948099136,1016.272277832 
2018-11-17 18:46:41,-8.090784073,1016.289611816 
2018-11-17 18:46:42,-8.191192627,1016.301635742 
2018-11-17 18:46:43,-8.228183746,1016.305908203 
2018-11-17 18:46:44,-8.259891510,1016.310058594 
2018-11-17 18:46:45,-8.291599274,1016.313415527 
