,time,altitude,latitude,longitude
0,27417593,31.0,36.015509045295595,129.32240732542726
1,27417615,31.0,36.01536173420248,129.32233277186853
2,27417616,31.144147872924805,36.01552081703114,129.32241637978436
3,27417622,31.05983543395996,36.015509494956625,129.32240840829598
4,27417623,31.12168884277344,36.01554902934069,129.3225435061407
5,27417624,31.38309948244259,36.01556426104895,129.32259357258346
6,27417625,27.908757781982427,36.015582681696955,129.32258108026355
7,27417626,27.96538543701172,36.015616074148305,129.32263973588468
8,27417627,33.043046569824206,36.0156522223484,129.3226874012415
9,27417628,33.509037170410146,36.01568722716994,129.3226889482896
10,27417629,33.629515853881834,36.01569758502935,129.32268580721458
11,27417630,33.669362565612786,36.015704868203265,129.3226896601049
12,27417631,33.6833585282898,36.015716026168974,129.32266982706778
13,27417632,33.736579261032105,36.01572052004932,129.32267868576628
14,27417633,33.73914788582,36.01572851723115,129.32268047987975
15,27417634,33.753879235603485,36.01572886733095,129.3227075737853
16,27417635,33.723073165259564,36.015722914576784,129.32272163806545
17,27417636,33.687466160520096,36.015717501650045,129.3227402953594
18,27417637,33.64470486800513,36.01571556267884,129.322749790365
19,27417638,33.621951108138404,36.015718121960845,129.32276218579435
20,27417639,33.61047468234704,36.015732995348436,129.32277269892472
21,27417640,33.642509183932944,36.015734342911465,129.32278049482292
22,27417641,33.64413334942357,36.015739614878775,129.32279143503058
23,27417642,33.661379506207005,36.01575932328604,129.3227992378543
24,27417643,33.72695872088437,36.01577206893431,129.32281193137635
25,27417644,33.774811503191955,36.01578387913408,129.3228032140766
26,27417645,33.81786353557309,36.01579585835186,129.32281013092975
27,27417646,33.86098137614032,36.015802915302665,129.3228061690504
28,27417647,33.888155022379664,36.01581344545673,129.3227832893508
29,27417648,33.924991802286804,36.01582427115003,129.32276653834407
30,27417649,33.964937229545086,36.015834297611605,129.3227446530131
31,27417650,33.997479059258225,36.01584565859665,129.3227262105774
32,27417651,34.00777479191215,36.01585485087937,129.32273103370107
33,27417652,34.013123365421684,36.015864214518594,129.32273675257838
34,27417653,34.016703495599785,36.01587582961218,129.3227457479413
35,27417654,34.018160141430094,36.015882054526465,129.32274688211461
36,27417655,34.019988087507265,36.015890803798555,129.32273743086816
37,27417656,34.02965688980541,36.01589492345529,129.3227319975183
38,27417657,34.036467123306714,36.015895670393135,129.3227364703732
39,27417658,34.034295134571884,36.015898291284905,129.32273140270132
40,27417659,34.039179711821454,36.015904006649386,129.3227225363267
41,27417660,34.05006741576223,36.01591054772745,129.32271237355775
42,27417661,34.06452517419341,36.01591724982312,129.3226886283594
43,27417662,34.094325976281645,36.01592673477412,129.3226762306478
44,27417663,34.120676036348875,36.01594277168042,129.32267642458842
45,27417664,34.142056464718884,36.015951771289274,129.3226742738886
46,27417665,34.15780382152072,36.01596098511883,129.32267064129533
47,27417666,34.17591298102903,36.01596658022043,129.3226714513219
48,27417667,34.18345738697009,36.015971914233056,129.32266562650804
49,27417668,34.20024156694408,36.015971951804225,129.3226667090831
50,27417669,34.2002171040821,36.01597792055074,129.3226705718136
51,27417670,34.20143345357227,36.01598511240143,129.322673236946
52,27417671,34.20582945680742,36.01599121688942,129.32267310081406
53,27417672,34.21396292004598,36.01601044957259,129.32266902326208
54,27417673,34.246684683117884,36.01602740009137,129.32266953180024
55,27417674,34.27030559904909,36.01604902406851,129.32267642144384
56,27417675,34.282637783415645,36.016062040416266,129.32267797722216
57,27417676,34.29510795558766,36.016081737655725,129.32268075307604
58,27417677,34.31124144741423,36.01610903944514,129.3226985744189
59,27417678,34.28644297713889,36.01612757819236,129.32271058229122
60,27417679,34.300322459334986,36.01614254696288,129.32271590330424
61,27417680,34.33296994429776,36.016149669424195,129.32271113037285
62,27417681,34.374776105147546,36.01615479189272,129.32271790656566
63,27417682,34.373597453044056,36.01615938095275,129.32272618724846
64,27417683,34.36152165631515,36.01616275558281,129.32274406783597
65,27417684,34.31331319163249,36.016175059521544,129.32275074792005
66,27417685,34.32671248371403,36.016172579285325,129.3227722125547
67,27417686,34.250471770221985,36.016172830393856,129.3227931684907
68,27417687,34.22563006276438,36.01617065705811,129.32280720334808
69,27417688,34.216104342336,36.01617049910168,129.32282246916458
70,27417689,34.21464021938986,36.016172518005256,129.32284482915546
71,27417690,34.221034105557145,36.016172524990985,129.32287234824642
72,27417691,34.22169752676665,36.016178670181716,129.32287715186573
73,27417692,34.24167315538663,36.01617792459576,129.3228936900308
74,27417693,34.241257159288665,36.01618476264364,129.32291182741142
75,27417694,34.26337017698844,36.01619725207458,129.32293265022142
76,27417695,34.306045498533805,36.01620563027951,129.32294388190982
77,27417696,34.337459560839704,36.01621093887741,129.3229539774953
78,27417697,34.357801437041005,36.01622046357697,129.32296594941704
79,27417698,34.39069347378223,36.01622729524611,129.32298241473526
80,27417699,34.41612012862822,36.01623140069538,129.32300269151258
81,27417700,34.431963117599146,36.01622896899502,129.32301875100947
82,27417701,34.42566815929409,36.016236051681155,129.32303566673278
83,27417702,34.44798635633469,36.01623581629497,129.32303934745187
84,27417703,34.44945599952507,36.016236332328596,129.3230474692839
85,27417704,34.451274945655626,36.01623678097119,129.32305795322588
86,27417705,34.44939690374525,36.016240785140965,129.32307216715435
87,27417706,34.44057109906593,36.01623616843749,129.32308375654492
88,27417707,34.40872080619566,36.01623446731788,129.3230925639039
89,27417708,34.38790958672308,36.0162317950031,129.32310301412042
90,27417709,34.36361548259809,36.016230328885634,129.32310538447484
91,27417710,34.35394882853325,36.01623126229572,129.32310828813974
92,27417711,34.35139601200372,36.01623214809207,129.3231167635757
