,time,relativeAltitude,pressure
0,9517,0.0,1020.367431641
1,9518,-0.063415527,1020.375366211
2,9519,-0.116260529,1020.3817138669999
3,9520,-0.126831055,1020.383361816
4,9521,-0.1743927,1020.388793945
5,9522,-0.17967605600000003,1020.3895263669999
6,9523,-0.17967605600000003,1020.3895263669999
7,9524,-0.16382217400000001,1020.387512207
8,9525,-0.0634155275,1020.3753967285
9,9526,0.021141052,1020.365234375
10,9527,0.063415527,1020.360046387
11,9528,0.063415527,1020.360046387
12,9529,-0.015853882,1020.3698730469999
13,9530,-0.15325164800000002,1020.38659668
14,9531,-0.364639282,1020.4116210939999
15,9532,-0.549602509,1020.4340820310001
16,9533,-0.6975708009999999,1020.4520263669999
17,9534,-0.824401855,1020.467468262
18,9535,-0.856109619,1020.471313477
19,9536,-0.967086792,1020.4848632810001
20,9537,-1.078063965,1020.498291016
21,9538,-1.231319427,1020.5167236330001
22,9539,-1.37928772,1020.5346679689999
23,9540,-1.566894531,1020.5571594239999
24,9541,-1.6646614069999999,1020.5692138669999
25,9542,-1.759784698,1020.5805664060001
26,9543,-1.870761871,1020.593811035
27,9544,-1.9236068730000002,1020.600219727
28,9545,-1.9870224,1020.607788086
29,9546,-2.0134468080000003,1020.611328125
30,9547,-2.097999573,1020.6213989260001
31,9548,-2.103286743,1020.6215820310001
32,9549,-2.1772689819999997,1020.6305541989999
33,9550,-2.224830627,1020.63684082
34,9551,-2.288246155,1020.64440918
35,9552,-2.304100037,1020.646606445
36,9553,-2.304100037,1020.646606445
37,9554,-2.314670563,1020.6477050780001
38,9555,-2.325241089,1020.6487426760001
39,9556,-2.380727768,1020.655578613
40,9557,-2.409793854,1020.659240723
41,9558,-2.409793854,1020.659240723
42,9559,-2.388656616,1020.65625
43,9560,-2.3358078,1020.6499023439999
44,9561,-2.2776794430000002,1020.6430664060001
45,9562,-2.2776794430000002,1020.64276123
46,9563,-2.267108917,1020.6414794919999
47,9564,-2.24597168,1020.6391601560001
48,9565,-2.24597168,1020.6391601560001
49,9566,-2.282962799,1020.643371582
50,9567,-2.351661682,1020.651977539
51,9568,-2.467926025,1020.666259766
52,9569,-2.642318726,1020.687133789
53,9570,-2.837848663,1020.710754395
54,9571,-2.9197616575,1020.7206726075
55,9572,-2.94354248,1020.7235107419999
56,9573,-2.938259125,1020.722900391
57,9574,-2.938259125,1020.72277832
58,9575,-2.938259125,1020.72265625
59,9576,-2.922405243,1020.7211914060001
60,9577,-2.917118073,1020.7202758789999
61,9578,-2.9065513610000004,1020.7192382810001
62,9579,-2.8854103089999996,1020.7163085939999
63,9580,-2.853702545,1020.7125854489999
64,9581,-2.8167114260000004,1020.7082519530001
65,9582,-2.7955741880000002,1020.705322266
66,9583,-2.748012543,1020.699829102
67,9584,-2.689880371,1020.692687988
68,9585,-2.652889252,1020.6883544919999
69,9586,-2.5683326720000004,1020.677856445
70,9587,-2.457355499,1020.664733887
71,9588,-2.37808609,1020.654968262
72,9589,-2.267108917,1020.6417236330001
73,9590,-2.124423981,1020.624389648
74,9591,-1.981739044,1020.6069946289999
75,9592,-1.839054108,1020.590087891
76,9593,-1.7333602909999999,1020.5772705080001
77,9594,-1.632953644,1020.565246582
78,9595,-1.532543182,1020.552978516
79,9596,-1.447990417,1020.542724609
80,9597,-1.326442719,1020.5281982419999
81,9598,-1.194328308,1020.5120239260001
82,9599,-1.03578949,1020.4930419919999
83,9600,-0.903671265,1020.47668457
84,9601,-0.6288700105,1020.4435424805
85,9602,-0.44919204700000004,1020.421813965
86,9603,-0.35406875600000004,1020.410400391
87,9604,-0.22723770100000001,1020.395446777
88,9605,-0.17967605600000003,1020.389343262
89,9606,-0.036991118999999996,1020.3719482419999
90,9607,0.126831055,1020.352478027
91,9608,0.33821868899999996,1020.3269042969999
92,9609,0.570743561,1020.299072266
93,9610,0.8085517879999999,1020.2702636719999
94,9611,1.0569305420000001,1020.239868164
95,9612,1.2841682429999999,1020.212524414
96,9613,1.51140976,1020.184997559
97,9614,1.7439308169999999,1020.1569824219999
98,9615,2.1032886504999997,1020.1138305659999
99,9616,2.483783722,1020.0676269530001
100,9617,2.748012543,1020.0360107419999
101,9618,2.996391296,1020.0055541989999
102,9619,3.2341995239999997,1019.977172852
103,9620,3.45615387,1019.950256348
104,9621,3.67282486,1019.923828125
105,9622,3.884212494,1019.89831543
106,9623,4.100883484,1019.8727416989999
107,9624,4.3122673030000005,1019.847045898
108,9625,4.518367767,1019.822021484
109,9626,4.735038757,1019.795837402
110,9627,4.941139221,1019.7707519530001
111,9628,5.173664093,1019.743103027
112,9629,5.400901794,1019.7156982419999
113,9630,5.728549957,1019.675720215
114,9631,6.061481476,1019.6359863280001
115,9632,6.267585754,1019.6108398439999
