,time,relativeAltitude,pressure
0,27486963,0.0,1021.967163086
1,27486964,-0.026420593,1021.970825195
2,27486965,-0.058128357,1021.97442627
3,27486966,-0.058128357,1021.97442627
4,27486967,-0.163818359,1021.987609863
5,27486968,-0.163818359,1021.987609863
6,27486969,-0.385772705,1022.014465332
7,27486970,-0.507324219,1022.028747559
8,27486971,-0.560165405,1022.034912109
9,27486972,-1.025215149,1022.091674805
10,27486973,-1.157333374,1022.107543945
11,27486974,-1.326438904,1022.1280517580001
12,27486975,-1.405708313,1022.137512207
13,27486976,-1.437416077,1022.141174316
14,27486977,-1.4902648930000002,1022.1479492189999
15,27486978,-1.4902648930000002,1022.1479492189999
16,27486979,-1.527256012,1022.1522216795
17,27486980,-1.5325393680000001,1022.152709961
18,27486981,-1.521972656,1022.1518554689999
19,27486982,-1.521972656,1022.151733398
20,27486983,-1.5166854859999999,1022.151184082
21,27486984,-1.500831604,1022.149047852
22,27486985,-1.4849777219999998,1022.1472167969999
23,27486986,-1.4796981809999998,1022.146362305
24,27486987,-1.4796981809999998,1022.146362305
25,27486988,-1.521972656,1022.1516113280001
26,27486989,-1.5325393680000001,1022.153259277
27,27486990,-1.55896759,1022.156311035
28,27486991,-1.5695343019999999,1022.1571044919999
29,27486992,-1.5695343019999999,1022.1571044919999
30,27486993,-1.5695343019999999,1022.1571044919999
31,27486994,-1.5166854859999999,1022.1509704590001
32,27486995,-1.4796981809999998,1022.146118164
33,27486996,-1.3898544309999998,1022.135925293
34,27486997,-1.29473114,1022.124389648
35,27486998,-1.20489502,1022.113525391
36,27486999,-1.146766663,1022.106262207
37,27487000,-1.099205017,1022.1007080080001
38,27487001,-1.099205017,1022.1007080080001
39,27487002,-1.099205017,1022.100769043
40,27487003,-1.12562561,1022.10357666
41,27487004,-1.146766663,1022.1059570310001
42,27487005,-1.146766663,1022.106384277
43,27487006,-1.1626205440000001,1022.108215332
44,27487007,-1.1837539670000001,1022.110534668
45,27487008,-1.1890411379999999,1022.111083984
46,27487009,-1.231315613,1022.116638184
47,27487010,-1.2207489009999999,1022.115478516
