,index,Unnamed: 0_x,date,altitude,latitude,longitude,Unnamed: 0_y,relativeAltitude,pressure
0,0,0.0,2018-11-15 12:24:39,40.50247373471599,36.01185172660926,129.32269833607523,0.0,20.303588867000002,1019.513793945
1,180,0.16666666666666666,2018-11-15 12:24:40,42.36420655159438,36.011903297363155,129.32267340601265,1.0,20.319442749,1019.511962891
2,181,0.3333333333333333,2018-11-15 12:24:41,44.22593936847277,36.01195486811706,129.32264847595007,2.0,20.356433868,1019.50769043
3,182,0.5,2018-11-15 12:24:42,46.08767218535116,36.012006438870955,129.3226235458875,3.0,20.367004395,1019.5061645510001
4,183,0.6666666666666666,2018-11-15 12:24:43,47.94940500222955,36.01205800962485,129.32259861582494,4.0,20.393424988,1019.5026855469999
5,184,0.8333333333333333,2018-11-15 12:24:44,49.81113781910794,36.012109580378755,129.32257368576236,5.0,20.401351929,1019.50189209
6,1,1.0,2018-11-15 13:44:56,51.67287063598633,36.01216115113265,129.32254875569978,5.5,20.370270578684213,1019.5057051810263
7,2,2.0,2018-11-15 13:45:10,51.67287063598633,36.01216115109253,129.32254875576515,6.0,20.339189228368426,1019.5095182720526
8,3,3.0,2018-11-15 13:45:11,51.50164413452149,36.012036607292174,129.32234686095865,7.0,32.849323273,1017.99987793
9,185,3.1666666666666665,2018-11-15 13:45:12,51.47068659464519,36.012020642002604,129.32234131007075,8.0,32.955013275,1017.987304688
10,186,3.3333333333333335,2018-11-15 13:45:13,51.43972905476888,36.01200467671303,129.32233575918286,9.0,32.965583801,1017.986083984
11,187,3.5,2018-11-15 13:45:14,51.40877151489258,36.01198871142347,129.322330208295,10.0,32.981437683,1017.9839477539999
12,188,3.6666666666666665,2018-11-15 13:45:15,51.37781397501628,36.0119727461339,129.3223246574071,11.0,32.997291565,1017.982055664
13,189,3.833333333333333,2018-11-15 13:45:16,51.346856435139976,36.01195678084433,129.32231910651922,12.0,33.002574921,1017.981262207
14,4,4.0,2018-11-15 13:45:17,51.31589889526367,36.01194081555476,129.32231355563133,13.0,33.213962555,1017.9558105469999
15,190,4.166666666666667,2018-11-15 13:45:18,51.279823303222656,36.01193666789909,129.32229914469087,14.0,33.272094726999995,1017.949157715
16,191,4.333333333333333,2018-11-15 13:45:19,51.24374771118164,36.01193252024343,129.3222847337504,15.0,33.29851532,1017.946105957
17,192,4.5,2018-11-15 13:45:20,51.207672119140625,36.01192837258776,129.32227032280994,16.0,33.361930846999996,1017.9379882810001
18,193,4.666666666666667,2018-11-15 13:45:21,51.17159652709961,36.01192422493209,129.3222559118695,17.0,33.430633545,1017.9301757810001
19,194,4.833333333333333,2018-11-15 13:45:22,51.135520935058594,36.01192007727642,129.322241500929,18.0,33.430633545,1017.9301757810001
20,5,5.0,2018-11-15 13:45:23,51.09944534301758,36.011915929620756,129.32222708998856,19.0,33.420063019000004,1017.931396484
21,195,5.166666666666667,2018-11-15 13:45:24,51.05961068471273,36.011923287796265,129.32221448218027,20.0,33.404209136999995,1017.93347168
22,196,5.333333333333333,2018-11-15 13:45:25,51.019776026407875,36.01193064597177,129.32220187437196,21.0,33.388355255,1017.934936523
23,197,5.5,2018-11-15 13:45:26,50.97994136810303,36.01193800414728,129.32218926656367,22.0,33.388355255,1017.935302734
24,198,5.666666666666667,2018-11-15 13:45:27,50.94010670979818,36.01194536232279,129.32217665875538,23.0,33.383071899,1017.9360351560001
25,199,5.833333333333333,2018-11-15 13:45:28,50.900272051493324,36.0119527204983,129.32216405094707,24.0,33.383071899,1017.9360351560001
26,6,6.0,2018-11-15 13:45:29,50.86043739318848,36.01196007867381,129.32215144313878,25.0,33.351364136,1017.93939209
27,200,6.166666666666667,2018-11-15 13:45:30,50.78654511769613,36.01196309057157,129.32216916470878,26.0,33.34079361,1017.941162109
28,201,6.333333333333333,2018-11-15 13:45:31,50.71265284220378,36.01196610246933,129.3221868862788,27.0,33.346076965,1017.940002441
29,202,6.5,2018-11-15 13:45:32,50.638760566711426,36.01196911436709,129.32220460784885,28.0,33.351364136,1017.9397583010001
30,203,6.666666666666667,2018-11-15 13:45:33,50.56486829121908,36.01197212626486,129.32222232941885,29.0,33.393638611,1017.934509277
31,204,6.833333333333333,2018-11-15 13:45:34,50.49097601572673,36.01197513816262,129.32224005098885,30.0,33.430633545,1017.930053711
32,7,7.0,2018-11-15 13:45:35,50.41708374023438,36.01197815006038,129.32225777255888,31.0,33.430633545,1017.930053711
33,205,7.166666666666667,2018-11-15 13:45:36,50.378402709960945,36.0119809740099,129.3222448242852,32.0,33.335510254,1017.94128418
34,206,7.333333333333333,2018-11-15 13:45:37,50.33972167968751,36.01198379795942,129.32223187601153,33.0,33.150547028000005,1017.963928223
35,207,7.5,2018-11-15 13:45:38,50.30104064941406,36.01198662190893,129.32221892773782,34.0,32.949729919,1017.98815918
36,208,7.666666666666667,2018-11-15 13:45:39,50.262359619140625,36.011989445858454,129.32220597946414,35.0,32.600944519,1018.0301513669999
37,209,7.833333333333333,2018-11-15 13:45:40,50.22367858886719,36.011992269807976,129.32219303119047,36.0,32.289150238000005,1018.0678710939999
38,8,8.0,2018-11-15 13:45:41,50.18499755859375,36.01199509375749,129.3221800829168,37.0,32.009063721,1018.101501465
39,9,9.0,2018-11-15 13:45:42,49.17122373854746,36.01199879006447,129.32214993871426,38.0,31.829387665,1018.123168945
40,10,10.0,2018-11-15 13:45:43,46.6111427307129,36.011979599994284,129.32215166579573,39.0,31.612716675,1018.149353027
