,date,relativeAltitude,pressure
93,2018-11-17 18:24:40,-12.403049469,1019.547668457
94,2018-11-17 18:24:41,-12.408332825,1019.548461914
95,2018-11-17 18:24:42,-12.429473877000001,1019.550842285
96,2018-11-17 18:24:43,-12.445327759000001,1019.552734375
97,2018-11-17 18:24:44,-12.477035522000001,1019.5563354489999
98,2018-11-17 18:24:45,-12.519313812,1019.5617675780001
99,2018-11-17 18:24:46,-12.54045105,1019.564331055
100,2018-11-17 18:24:47,-12.569517136,1019.5677185059999
101,2018-11-17 18:24:48,-12.635574341,1019.5758666989999
102,2018-11-17 18:24:49,-12.683135986,1019.581787109
103,2018-11-17 18:24:50,-12.836391449,1019.599853516
104,2018-11-17 18:24:51,-13.058345795,1019.6264648439999
105,2018-11-17 18:24:52,-13.333145142000001,1019.66003418
106,2018-11-17 18:24:53,-13.581523895,1019.68963623
107,2018-11-17 18:24:54,-13.872180939000001,1019.724731445
108,2018-11-17 18:24:55,-14.168121337999999,1019.760437012
109,2018-11-17 18:24:56,-14.442920685,1019.7941894530001
110,2018-11-17 18:24:57,-14.701869965,1019.825134277
111,2018-11-17 18:24:58,-14.950244904000002,1019.85534668
112,2018-11-17 18:24:59,-15.240901947000001,1019.8901977539999
113,2018-11-17 18:25:00,-15.505134583,1019.922241211
114,2018-11-17 18:25:01,-15.801074982000001,1019.957946777
115,2018-11-17 18:25:02,-16.070590972999998,1019.990600586
116,2018-11-17 18:25:03,-16.525068283,1020.0454101565
117,2018-11-17 18:25:04,-16.921417236,1020.0933227539999
118,2018-11-17 18:25:05,-17.053531647,1020.109130859
119,2018-11-17 18:25:06,-17.159225464000002,1020.122009277
120,2018-11-17 18:25:07,-17.180362701,1020.124755859
121,2018-11-17 18:25:08,-17.180362701,1020.124755859
122,2018-11-17 18:25:09,-17.111663818,1020.1164550780001
123,2018-11-17 18:25:10,-17.079956055,1020.1121826169999
124,2018-11-17 18:25:11,-17.042964935,1020.1082763669999
125,2018-11-17 18:25:12,-17.005970000999998,1020.103271484
126,2018-11-17 18:25:13,-16.937271117999998,1020.0952148439999
127,2018-11-17 18:25:14,-16.905563354,1020.0913085939999
128,2018-11-17 18:25:15,-16.873855590999998,1020.087646484
129,2018-11-17 18:25:16,-16.826293945,1020.0815429689999
130,2018-11-17 18:25:17,-16.826293945,1020.0815429689999
131,2018-11-17 18:25:18,-16.947841644,1020.096679688
132,2018-11-17 18:25:19,-17.124874115,1020.1178283689999
133,2018-11-17 18:25:20,-17.317764282,1020.140869141
134,2018-11-17 18:25:21,-17.444595337,1020.156188965
135,2018-11-17 18:25:22,-17.476303101,1020.16027832
136,2018-11-17 18:25:23,-17.502727509,1020.1633300780001
137,2018-11-17 18:25:24,-17.523864745999997,1020.166259766
138,2018-11-17 18:25:25,-17.523864745999997,1020.166259766
139,2018-11-17 18:25:26,-17.523864745999997,1020.166137695
140,2018-11-17 18:25:27,-17.508010864000003,1020.164245605
141,2018-11-17 18:25:28,-17.465736389,1020.158996582
142,2018-11-17 18:25:29,-17.449882507,1020.157226562
143,2018-11-17 18:25:30,-17.423458099,1020.15411377
144,2018-11-17 18:25:31,-17.423458099,1020.15411377
145,2018-11-17 18:25:32,-17.471019745,1020.159912109
146,2018-11-17 18:25:33,-17.550289154,1020.1694335939999
147,2018-11-17 18:25:34,-17.6586246495,1020.1825561525
148,2018-11-17 18:25:35,-17.761672974,1020.1950073239999
149,2018-11-17 18:25:36,-17.782814026,1020.197387695
150,2018-11-17 18:25:37,-17.782814026,1020.197387695
151,2018-11-17 18:25:38,-17.7722435,1020.1961669919999
152,2018-11-17 18:25:39,-17.745819092,1020.1929321289999
153,2018-11-17 18:25:40,-17.719398499,1020.189453125
154,2018-11-17 18:25:41,-17.687690735,1020.18560791
155,2018-11-17 18:25:42,-17.655982971,1020.182250977
156,2018-11-17 18:25:43,-17.618988037,1020.17755127
157,2018-11-17 18:25:44,-17.618988037,1020.17755127
158,2018-11-17 18:25:45,-17.645412445,1020.180603027
159,2018-11-17 18:25:46,-17.655982971,1020.182006836
160,2018-11-17 18:25:47,-17.671836853,1020.183837891
161,2018-11-17 18:25:48,-17.682403564,1020.185302734
162,2018-11-17 18:25:49,-17.682403564,1020.1852722164999
163,2018-11-17 18:25:50,-17.682403564,1020.1852416989999
164,2018-11-17 18:25:51,-17.682403564,1020.185302734
165,2018-11-17 18:25:52,-17.708827972,1020.1883544919999
166,2018-11-17 18:25:53,-17.745819092,1020.192810059
167,2018-11-17 18:25:54,-17.766960144000002,1020.195251465
168,2018-11-17 18:25:55,-17.856796265,1020.206237793
169,2018-11-17 18:25:56,-17.914928436,1020.213562012
170,2018-11-17 18:25:57,-17.957206726,1020.218383789
171,2018-11-17 18:25:58,-18.010051727,1020.224487305
172,2018-11-17 18:25:59,-18.062900542999998,1020.231018066
173,2018-11-17 18:26:00,-18.078754425,1020.233215332
174,2018-11-17 18:26:01,-18.084037781,1020.2336425780001
175,2018-11-17 18:26:02,-18.105175018,1020.23614502
176,2018-11-17 18:26:03,-18.105175018,1020.23614502
177,2018-11-17 18:26:04,-18.081396103000003,1020.2334899905
178,2018-11-17 18:26:05,-18.052330017,1020.229858398
179,2018-11-17 18:26:06,-18.041759491,1020.228515625
180,2018-11-17 18:26:07,-18.010051727,1020.224975586
181,2018-11-17 18:26:08,-18.004768372,1020.224243164
182,2018-11-17 18:26:09,-17.98891449,1020.2222290039999
183,2018-11-17 18:26:10,-17.98891449,1020.222045898
184,2018-11-17 18:26:11,-17.941352844,1020.21673584
185,2018-11-17 18:26:12,-17.909645081,1020.212341309
186,2018-11-17 18:26:13,-17.877937317,1020.209106445
187,2018-11-17 18:26:14,-17.862083435,1020.207214355
188,2018-11-17 18:26:15,-17.835659027000002,1020.203735352
189,2018-11-17 18:26:16,-17.835659027000002,1020.203735352
190,2018-11-17 18:26:17,-17.840942382999998,1020.2045898439999
191,2018-11-17 18:26:18,-17.851512909,1020.205688477
192,2018-11-17 18:26:19,-17.856796265,1020.2062988280001
193,2018-11-17 18:26:20,-17.856796265,1020.2062988280001
194,2018-11-17 18:26:21,-17.851512909,1020.2058105469999
195,2018-11-17 18:26:22,-17.819805145,1020.2020263669999
196,2018-11-17 18:26:23,-17.819805145,1020.2016601560001
197,2018-11-17 18:26:24,-17.798667908,1020.199279785
198,2018-11-17 18:26:25,-17.777526855,1020.196594238
199,2018-11-17 18:26:26,-17.777526855,1020.196594238
200,2018-11-17 18:26:27,-17.782814026,1020.197265625
201,2018-11-17 18:26:28,-17.809234619,1020.2006835939999
202,2018-11-17 18:26:29,-17.851512909,1020.205627441
203,2018-11-17 18:26:30,-17.877937317,1020.209106445
